run,strain,pos_selection,well,exp_growth_rate
r3,MG1655_1,0_µg/ml_tc,A02,0.008286956077885944
r3,3.19_1,0_µg/ml_tc,A03,0.00827112557787495
r3,IW_1,0_µg/ml_tc,A04,0.009146537069268695
r3,MG1655_1,0.4_µg/ml_tc,A05,0.0046053654748129174
r3,3.19_1,0.4_µg/ml_tc,A06,0.005484016659789594
r3,IW_1,0.4_µg/ml_tc,A07,0.007862275136198199
r3,WTlac_1,0.4_µg/ml_tc,A08,0.008541621904610181
r3,lacUV5_1,0.4_µg/ml_tc,A09,0.00915670951254405
r3,MG1655_1,1.0_µg/ml_tc,A10,0.0012292848888501972
r3,WTlac_1,0_µg/ml_tc,B01,0.008153605524572548
r3,lacUV5_1,0_µg/ml_tc,B02,0.009792646340362384
r3,MG1655_2,0_µg/ml_tc,B03,0.008261958324371516
r3,3.19_2,0_µg/ml_tc,B04,0.008629385300043374
r3,MG1655_2,0.4_µg/ml_tc,B05,0.004904013453765284
r3,3.19_2,0.4_µg/ml_tc,B06,0.005926218563901533
r3,IW_2,0.4_µg/ml_tc,B07,0.007570716379780359
r3,WTlac_2,0.4_µg/ml_tc,B08,0.008870305558233543
r3,lacUV5_2,0.4_µg/ml_tc,B09,0.009462302043416446
r3,3.19_1,1.0_µg/ml_tc,B10,0.002256754770493241
r3,IW_1,1.0_µg/ml_tc,B11,0.004458574199194779
r3,WTlac_2,1.0_µg/ml_tc,B12,0.008067898591569027
r3,IW_2,0_µg/ml_tc,C01,0.00969265568266592
r3,WTlac_2,0_µg/ml_tc,C02,0.007759086233734922
r3,lacUV5_2,0_µg/ml_tc,C03,0.010448068952745604
r3,MG1655_1,0_µg/ml_tc,C04,0.008612163648297451
r3,MG1655_1,0.4_µg/ml_tc,C05,0.004929286082192279
r3,3.19_1,0.4_µg/ml_tc,C06,0.005790114167880546
r3,IW_1,0.4_µg/ml_tc,C07,0.00822087834214777
r3,WTlac_1,0.4_µg/ml_tc,C08,0.00881822447776551
r3,lacUV5_1,0.4_µg/ml_tc,C09,0.00918587860825848
r3,lacUV5_1,1.0_µg/ml_tc,C10,0.009658240272715269
r3,MG1655_2,1.0_µg/ml_tc,C11,0.000986821810991002
r3,3.19_2,1.0_µg/ml_tc,C12,0.0021798809158732804
r3,3.19_1,0_µg/ml_tc,D01,0.008456025984114287
r3,IW_1,0_µg/ml_tc,D02,0.009242670995988496
r3,WTlac_1,0_µg/ml_tc,D03,0.008854109505755275
r3,lacUV5_1,0_µg/ml_tc,D04,0.010275402661996896
r3,MG1655_2,0.4_µg/ml_tc,D05,0.004959522694121236
r3,3.19_2,0.4_µg/ml_tc,D06,0.005990159427174162
r3,IW_2,0.4_µg/ml_tc,D07,0.008275616119329782
r3,WTlac_2,0.4_µg/ml_tc,D08,0.008915001479476976
r3,lacUV5_2,0.4_µg/ml_tc,D09,0.009581547785624228
r3,IW_2,1.0_µg/ml_tc,D10,0.004854457263393013
r3,WTlac_2,1.0_µg/ml_tc,D11,0.008125505962255199
r3,lacUV5_2,1.0_µg/ml_tc,D12,0.008931860802348555
r3,MG1655_2,0_µg/ml_tc,E01,0.00824965955787454
r3,3.19_2,0_µg/ml_tc,E02,0.008160454511963245
r3,IW_2,0_µg/ml_tc,E03,0.00903075158934764
r3,WTlac_2,0_µg/ml_tc,E04,0.00872517584667037
r3,MG1655_1,0.63_µg/ml_tc,E05,0.0041888736089222105
r3,3.19_1,0.63_µg/ml_tc,E06,0.00548230351006536
r3,IW_1,0.63_µg/ml_tc,E07,0.0075655514431091685
r3,WTlac_1,0.63_µg/ml_tc,E08,0.009623904928324286
r3,lacUV5_1,0.63_µg/ml_tc,E09,0.009680923049622444
r3,MG1655_1,1.0_µg/ml_tc,E10,0.0019413089831788507
r3,3.19_1,1.0_µg/ml_tc,E11,0.0021505545399651826
r3,IW_1,1.0_µg/ml_tc,E12,0.0047512059426432695
r3,lacUV5_2,0_µg/ml_tc,F01,0.010657996259208932
r3,MG1655_1,0_µg/ml_tc,F02,0.008388133206772534
r3,3.19_1,0_µg/ml_tc,F03,0.008275524336865944
r3,IW_1,0_µg/ml_tc,F04,0.008473933593591831
r3,MG1655_2,0.63_µg/ml_tc,F05,0.0040200347321060126
r3,3.19_2,0.63_µg/ml_tc,F06,0.005199183378282825
r3,IW_2,0.63_µg/ml_tc,F07,0.006999021058541396
r3,WTlac_2,0.63_µg/ml_tc,F08,0.006982208344964005
r3,lacUV5_2,0.63_µg/ml_tc,F09,0.009501359657522593
r3,WTlac_1,1.0_µg/ml_tc,F10,0.008584329207966092
r3,lacUV5_1,1.0_µg/ml_tc,F11,0.010806891880041851
r3,MG1655_2,1.0_µg/ml_tc,F12,0.0010452577428277817
r3,WTlac_1,0_µg/ml_tc,G01,0.00839981437572101
r3,lacUV5_1,0_µg/ml_tc,G02,0.009016116885834218
r3,MG1655_2,0_µg/ml_tc,G03,0.006669253534292039
r3,3.19_2,0_µg/ml_tc,G04,0.008187198152144404
r3,MG1655_1,0.63_µg/ml_tc,G05,0.0042777722623853634
r3,3.19_1,0.63_µg/ml_tc,G06,0.00508192018530763
r3,IW_1,0.63_µg/ml_tc,G07,0.007146795969122217
r3,WTlac_1,0.63_µg/ml_tc,G08,0.00865070836131549
r3,lacUV5_1,0.63_µg/ml_tc,G09,0.009146326150015417
r3,3.19_2,1.0_µg/ml_tc,G10,0.002275414542848268
r3,IW_2,1.0_µg/ml_tc,G11,0.004883235624853613
