run,time_min,temp,OD600,OD600_norm,strain,well,media,pos_selection
r1,6.166666666666667,32.7,0.098,0.007306184012066438,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,13.166666666666666,37.0,0.093,0.002306184012066434,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,20.166666666666668,37.0,0.098,0.007306184012066438,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,27.166666666666668,37.1,0.096,0.005306184012066437,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,34.166666666666664,37.0,0.094,0.003306184012066435,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,41.166666666666664,37.0,0.095,0.004306184012066436,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,48.166666666666664,37.0,0.1,0.00930618401206644,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,55.166666666666664,37.0,0.101,0.010306184012066441,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,62.166666666666664,37.1,0.102,0.011306184012066428,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,69.16666666666667,37.0,0.103,0.012306184012066429,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,76.16666666666667,37.1,0.105,0.01430618401206643,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,83.16666666666667,37.0,0.106,0.015306184012066432,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,90.16666666666667,37.1,0.108,0.017306184012066433,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,97.16666666666667,37.0,0.109,0.018306184012066434,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,104.16666666666667,37.0,0.111,0.020306184012066436,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,111.16666666666667,37.0,0.111,0.020306184012066436,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,118.16666666666667,37.0,0.114,0.02330618401206644,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,125.16666666666667,37.0,0.114,0.02330618401206644,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,132.16666666666666,37.1,0.119,0.02830618401206643,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,139.16666666666666,37.0,0.118,0.02730618401206643,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,146.16666666666666,37.1,0.124,0.033306184012066434,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,153.16666666666666,36.9,0.122,0.03130618401206643,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,160.16666666666666,37.1,0.124,0.033306184012066434,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,167.16666666666666,37.0,0.126,0.035306184012066436,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,174.16666666666666,37.0,0.13,0.03930618401206644,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,181.16666666666666,37.0,0.132,0.04130618401206644,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,188.16666666666666,37.1,0.138,0.047306184012066446,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,195.16666666666666,37.1,0.141,0.05030618401206642,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,202.16666666666666,37.1,0.141,0.05030618401206642,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,209.16666666666666,36.9,0.15,0.05930618401206643,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,216.16666666666666,37.1,0.149,0.05830618401206643,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,223.16666666666666,37.1,0.161,0.07030618401206644,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,230.16666666666666,37.1,0.166,0.07530618401206644,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,237.16666666666666,37.0,0.164,0.07330618401206644,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,244.16666666666666,37.1,0.169,0.07830618401206645,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,251.16666666666666,37.0,0.176,0.08530618401206642,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,258.1666666666667,37.0,0.19,0.09930618401206644,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,265.1666666666667,37.0,0.19,0.09930618401206644,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,272.1666666666667,37.0,0.205,0.11430618401206642,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,279.1666666666667,37.0,0.206,0.11530618401206642,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
r1,286.1666666666667,37.0,0.216,0.12530618401206645,MG1655_1,A02,M9_0.5%_glucose_supp,0.0_µg/ml_tc
