run,time_min,temp,OD600,OD600_norm,strain,well,media,pos_selection
r1,9.166666666666666,37.1,0.042,0.004062937062937033,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,19.166666666666668,37.1,0.042,0.004062937062937033,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,29.166666666666668,37.1,0.043,0.005062937062937027,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,39.166666666666664,37.0,0.044,0.006062937062937028,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,49.166666666666664,37.1,0.044,0.006062937062937028,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,59.166666666666664,37.1,0.045,0.007062937062937029,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,69.16666666666667,37.0,0.046,0.00806293706293703,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,79.16666666666667,37.1,0.047,0.00906293706293703,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,89.16666666666667,37.1,0.048,0.010062937062937032,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,99.16666666666667,37.1,0.049,0.011062937062937032,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,109.16666666666667,37.1,0.05,0.012062937062937033,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,119.16666666666667,37.0,0.051,0.013062937062937027,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,129.16666666666666,37.1,0.052,0.014062937062937028,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,139.16666666666666,37.0,0.053,0.015062937062937029,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,149.16666666666666,37.1,0.054,0.01606293706293703,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,159.16666666666666,37.0,0.055,0.01706293706293703,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,169.16666666666666,37.1,0.057,0.019062937062937033,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,179.16666666666666,37.0,0.058,0.020062937062937033,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,189.16666666666666,37.1,0.06,0.02206293706293703,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,199.16666666666666,37.0,0.062,0.02406293706293703,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,209.16666666666666,37.0,0.064,0.026062937062937032,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,219.16666666666666,37.0,0.065,0.027062937062937033,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,229.16666666666666,37.0,0.068,0.030062937062937035,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,239.16666666666666,37.1,0.071,0.033062937062937024,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,249.16666666666666,37.0,0.073,0.035062937062937026,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,259.1666666666667,37.0,0.076,0.03806293706293703,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,269.1666666666667,37.0,0.079,0.04106293706293703,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,279.1666666666667,37.0,0.084,0.046062937062937036,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,289.1666666666667,36.9,0.088,0.050062937062937025,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,299.1666666666667,37.1,0.093,0.05506293706293703,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,309.1666666666667,37.0,0.098,0.060062937062937034,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,319.1666666666667,37.1,0.105,0.06706293706293703,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,329.1666666666667,37.1,0.111,0.07306293706293704,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,339.1666666666667,37.1,0.118,0.08006293706293702,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,349.1666666666667,37.1,0.126,0.08806293706293702,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,359.1666666666667,37.1,0.135,0.09706293706293703,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,369.1666666666667,37.0,0.144,0.10606293706293701,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,379.1666666666667,37.0,0.153,0.11506293706293702,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,389.1666666666667,37.0,0.164,0.12606293706293703,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,399.1666666666667,37.1,0.175,0.137062937062937,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,409.1666666666667,37.1,0.188,0.15006293706293702,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,419.1666666666667,37.0,0.201,0.16306293706293704,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,429.1666666666667,37.0,0.214,0.17606293706293702,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,439.1666666666667,37.0,0.234,0.19606293706293704,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,449.1666666666667,37.1,0.243,0.20506293706293702,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,459.1666666666667,37.0,0.266,0.22806293706293704,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,469.1666666666667,37.0,0.283,0.245062937062937,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,479.1666666666667,37.0,0.31,0.27206293706293705,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,489.1666666666667,37.1,0.353,0.31506293706293703,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,499.1666666666667,37.0,0.378,0.34006293706293705,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,509.1666666666667,37.1,0.364,0.32606293706293704,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
r1,519.1666666666666,37.0,0.389,0.35106293706293706,MG1655,A02,M9_0.5%_glucose_supp,0_µg/ml_tc
