run,strain,pos_selection,well,exp_growth_rate
r1,MG1655_1,0_µg/ml_tc,A02,0.010199878370790052
r1,3.19_1,0_µg/ml_tc,A03,0.009607707121309208
r1,IW_1,0_µg/ml_tc,A04,0.015676368551748903
r1,MG1655_1,0.1_µg/ml_tc,A05,0.01080022589409823
r1,3.19_1,0.1_µg/ml_tc,A06,0.009607460498248689
r1,IW_1,0.1_µg/ml_tc,A07,0.010269323734080633
r1,WTlac_1,0.1_µg/ml_tc,A08,0.009728096456746492
r1,lacUV5_1,0.1_µg/ml_tc,A09,0.013280480327377223
r1,MG1655_1,0.25_µg/ml_tc,A10,0.009274006129509125
r1,WTlac_1,0_µg/ml_tc,B01,0.013119352914148008
r1,lacUV5_1,0_µg/ml_tc,B02,0.01366731611039399
r1,MG1655_2,0_µg/ml_tc,B03,0.009862843953016476
r1,3.19_2,0_µg/ml_tc,B04,0.010277678418935258
r1,MG1655_2,0.1_µg/ml_tc,B05,0.010039927189461888
r1,3.19_2,0.1_µg/ml_tc,B06,0.010057515567515973
r1,IW_2,0.1_µg/ml_tc,B07,0.010748263455226415
r1,WTlac_2,0.1_µg/ml_tc,B08,0.010069209531432831
r1,lacUV5_2,0.1_µg/ml_tc,B09,0.010018648588780424
r1,3.19_1,0.25_µg/ml_tc,B10,0.0097620904166654
r1,IW_1,0.25_µg/ml_tc,B11,0.01025706621734384
r1,WTlac_2,0.25_µg/ml_tc,B12,0.00965568893084606
r1,IW_2,0_µg/ml_tc,C01,0.009983673888016218
r1,WTlac_2,0_µg/ml_tc,C02,0.01011951507306328
r1,lacUV5_2,0_µg/ml_tc,C03,0.010343461087197496
r1,MG1655_1,0_µg/ml_tc,C04,0.010004269345907977
r1,MG1655_1,0.1_µg/ml_tc,C05,0.010122147467727433
r1,3.19_1,0.1_µg/ml_tc,C06,0.010496626671977401
r1,IW_1,0.1_µg/ml_tc,C07,0.011121316971614075
r1,WTlac_1,0.1_µg/ml_tc,C08,0.010276336767828197
r1,lacUV5_1,0.1_µg/ml_tc,C09,0.01438693168296778
r1,lacUV5_1,0.25_µg/ml_tc,C10,0.013550430709273064
r1,MG1655_2,0.25_µg/ml_tc,C11,0.009804674667570533
r1,3.19_2,0.25_µg/ml_tc,C12,0.00946355534827128
r1,3.19_1,0_µg/ml_tc,D01,0.008988423546582362
r1,IW_1,0_µg/ml_tc,D02,0.010580541109151189
r1,WTlac_1,0_µg/ml_tc,D03,0.013627539028350991
r1,lacUV5_1,0_µg/ml_tc,D04,0.014828737845678305
r1,MG1655_2,0.1_µg/ml_tc,D05,0.010514391224371695
r1,3.19_2,0.1_µg/ml_tc,D06,0.010574928254279588
r1,IW_2,0.1_µg/ml_tc,D07,0.010468216491421824
r1,WTlac_2,0.1_µg/ml_tc,D08,0.01050489447339368
r1,lacUV5_2,0.1_µg/ml_tc,D09,0.010497386601863922
r1,IW_2,0.25_µg/ml_tc,D10,0.010658184610835654
r1,WTlac_2,0.25_µg/ml_tc,D11,0.010218645747631434
r1,lacUV5_2,0.25_µg/ml_tc,D12,0.009740537738700226
r1,MG1655_2,0_µg/ml_tc,E01,0.0091810876866137
r1,3.19_2,0_µg/ml_tc,E02,0.010313865942526762
r1,IW_2,0_µg/ml_tc,E03,0.011208927285741145
r1,WTlac_2,0_µg/ml_tc,E04,0.012358324336527265
r1,MG1655_1,0.16_µg/ml_tc,E05,0.009480964105161915
r1,3.19_1,0.16_µg/ml_tc,E06,0.010422977984379798
r1,IW_1,0.16_µg/ml_tc,E07,0.011295489270383267
r1,WTlac_1,0.16_µg/ml_tc,E08,0.010372540042763907
r1,lacUV5_1,0.16_µg/ml_tc,E09,0.014204766358063354
r1,MG1655_1,0.25_µg/ml_tc,E10,0.010162467022437626
r1,3.19_1,0.25_µg/ml_tc,E11,0.010098660962280917
r1,IW_1,0.25_µg/ml_tc,E12,0.010144830007872073
r1,lacUV5_2,0_µg/ml_tc,F01,0.014212517903402668
r1,MG1655_1,0_µg/ml_tc,F02,0.009951888175078282
r1,3.19_1,0_µg/ml_tc,F03,0.009915234923850465
r1,IW_1,0_µg/ml_tc,F04,0.01020269954765665
r1,MG1655_2,0.16_µg/ml_tc,F05,0.011113744338945469
r1,3.19_2,0.16_µg/ml_tc,F06,0.010068010799940338
r1,IW_2,0.16_µg/ml_tc,F07,0.010700381406433755
r1,WTlac_2,0.16_µg/ml_tc,F08,0.0129565081729124
r1,lacUV5_2,0.16_µg/ml_tc,F09,0.01023473697103916
r1,WTlac_1,0.25_µg/ml_tc,F10,0.010092632752498023
r1,lacUV5_1,0.25_µg/ml_tc,F11,0.010166908233422473
r1,MG1655_2,0.25_µg/ml_tc,F12,0.012234210730965053
r1,WTlac_1,0_µg/ml_tc,G01,0.009013169503606838
r1,lacUV5_1,0_µg/ml_tc,G02,0.01389070169327547
r1,MG1655_2,0_µg/ml_tc,G03,0.009938540386223505
r1,3.19_2,0_µg/ml_tc,G04,0.009922884817349467
r1,MG1655_1,0.16_µg/ml_tc,G05,0.009983126721971778
r1,3.19_1,0.16_µg/ml_tc,G06,0.009913544302246753
r1,IW_1,0.16_µg/ml_tc,G07,0.010263255543659444
r1,WTlac_1,0.16_µg/ml_tc,G08,0.009784189882778998
r1,lacUV5_1,0.16_µg/ml_tc,G09,0.012882701624043294
r1,3.19_2,0.25_µg/ml_tc,G10,0.009627772931154716
r1,IW_2,0.25_µg/ml_tc,G11,0.010440888072564514
r1,WTlac_2,0.25_µg/ml_tc,G12,0.009569640341654698
r1,IW_2,0_µg/ml_tc,H02,0.010065638533974818
r1,WTlac_2,0_µg/ml_tc,H03,0.009482691583665138
r1,lacUV5_2,0_µg/ml_tc,H04,0.012552301666867069
