run,strain,pos_selection,well,exp_growth_rate
r1,MG1655_1,0.0_µg/ml_tc,A02,0.01130426812120608
r1,MG1655_2,0.0_µg/ml_tc,A03,0.012643995887915307
r1,3.19_1,0.0_µg/ml_tc,A04,0.011711341508667062
r1,3.19_2,0.0_µg/ml_tc,A05,0.011645258438052593
r1,IW_1,0.0_µg/ml_tc,A06,0.012263297075284556
r1,IW_2,0.0_µg/ml_tc,A07,0.011934108340257666
r1,WTlac_1,0.0_µg/ml_tc,A08,0.010514171645397979
r1,WTlac_2,0.0_µg/ml_tc,A09,0.01046970762267531
r1,lacUV5_1,0.0_µg/ml_tc,A10,0.011510437952136814
r1,lacUV5_2,0.0_µg/ml_tc,A11,0.011445785230868075
r1,MG1655_1,0.0_µg/ml_tc,B02,0.011220921282037359
r1,MG1655_2,0.0_µg/ml_tc,B03,0.011262720910254095
r1,3.19_1,0.0_µg/ml_tc,B04,0.01139245964891815
r1,3.19_2,0.0_µg/ml_tc,B05,0.01166840699480141
r1,IW_1,0.0_µg/ml_tc,B06,0.012036284171710392
r1,IW_2,0.0_µg/ml_tc,B07,0.011929168494756122
r1,WTlac_1,0.0_µg/ml_tc,B08,0.01064479456763744
r1,WTlac_2,0.0_µg/ml_tc,B09,0.010438548424740653
r1,lacUV5_1,0.0_µg/ml_tc,B10,0.011690491008080195
r1,lacUV5_2,0.0_µg/ml_tc,B11,0.011656138957254125
r1,IW_1,1.93_µg/ml_tc,C06,0.0068518637911683415
r1,IW_2,1.93_µg/ml_tc,C07,0.006403322536310839
r1,WTlac_1,1.93_µg/ml_tc,C08,0.00855103058660911
r1,WTlac_2,1.93_µg/ml_tc,C09,0.00872802761996335
r1,lacUV5_1,1.93_µg/ml_tc,C10,0.011438312702988833
r1,lacUV5_2,1.93_µg/ml_tc,C11,0.011542325846270407
r1,IW_1,1.93_µg/ml_tc,D06,0.006252740970033928
r1,IW_2,1.93_µg/ml_tc,D07,0.005797371292978098
r1,WTlac_1,1.93_µg/ml_tc,D08,0.008336812770098808
r1,WTlac_2,1.93_µg/ml_tc,D09,0.008737750605922913
r1,lacUV5_1,1.93_µg/ml_tc,D10,0.011313656849540039
r1,lacUV5_2,1.93_µg/ml_tc,D11,0.011483754119692555
r1,IW_1,3.16_µg/ml_tc,E06,0.004339951062274374
r1,IW_2,3.16_µg/ml_tc,E07,0.004393845956776821
r1,WTlac_1,3.16_µg/ml_tc,E08,0.00722184066966892
r1,WTlac_2,3.16_µg/ml_tc,E09,0.00723832857725566
r1,lacUV5_1,3.16_µg/ml_tc,E10,0.01109907405105518
r1,lacUV5_2,3.16_µg/ml_tc,E11,0.01120017754042621
r1,IW_1,3.16_µg/ml_tc,F06,0.004420324120440825
r1,IW_2,3.16_µg/ml_tc,F07,0.003899744948033523
r1,WTlac_1,3.16_µg/ml_tc,F08,0.007257969630701857
r1,WTlac_2,3.16_µg/ml_tc,F09,0.007176264772745242
r1,lacUV5_1,3.16_µg/ml_tc,F10,0.011133829021355882
r1,lacUV5_2,3.16_µg/ml_tc,F11,0.011295391296632125
r1,WTlac_1,5.18_µg/ml_tc,G08,0.004721275030422822
r1,WTlac_2,5.18_µg/ml_tc,G09,0.004866970504801165
r1,lacUV5_1,5.18_µg/ml_tc,G10,0.010906903739278419
r1,lacUV5_2,5.18_µg/ml_tc,G11,0.010985876893197468
r1,WTlac_1,5.18_µg/ml_tc,H08,0.004586575189062671
r1,WTlac_2,5.18_µg/ml_tc,H09,0.004485118210027665
r1,lacUV5_1,5.18_µg/ml_tc,H10,0.010918300783027999
r1,lacUV5_2,5.18_µg/ml_tc,H11,0.010971111144229145
