run,strain,pos_selection,well,growth_rate
r4,MG1655_1,0_µg/ml_tc,A01,211825.51852249887
r4,MG1655_1,0_µg/ml_tc,A02,33640.02559544163
r4,MG1655_1,0_µg/ml_tc,A03,83562.4498126356
r4,MG1655_1,0_µg/ml_tc,A04,64803.9589777772
r4,MG1655_2,0_µg/ml_tc,A05,52583.55072501617
r4,MG1655_2,0_µg/ml_tc,A06,211655.86819100595
r4,MG1655_2,0_µg/ml_tc,A07,41454.88849679486
r4,MG1655_2,0_µg/ml_tc,A08,138612.93357055713
r4,MG1655_3,0_µg/ml_tc,A09,121222.40005277598
r4,MG1655_3,0_µg/ml_tc,A10,367668.43417281844
r4,MG1655_3,0_µg/ml_tc,A11,66523.05081186755
r4,MG1655_3,0_µg/ml_tc,A12,50893.987623332505
r4,MG1655_1,0_µg/ml_tc,B01,47450.77054836324
r4,MG1655_1,0_µg/ml_tc,B02,88643.07512218585
r4,MG1655_1,0_µg/ml_tc,B03,94985.96292444396
r4,MG1655_1,0_µg/ml_tc,B04,56553.43117351374
r4,MG1655_2,0_µg/ml_tc,B05,79313.07367782599
r4,MG1655_2,0_µg/ml_tc,B06,104104.7635119431
r4,MG1655_2,0_µg/ml_tc,B07,91866.0801216797
r4,MG1655_2,0_µg/ml_tc,B08,121212.62863727468
r4,MG1655_3,0_µg/ml_tc,B09,119975.55727304786
r4,MG1655_3,0_µg/ml_tc,B10,91281.44840750488
r4,MG1655_3,0_µg/ml_tc,B11,116710.5658426067
r4,MG1655_3,0_µg/ml_tc,B12,128650.75201525124
r4,MG1655_1,0_µg/ml_tc,C01,591530.9177252436
r4,MG1655_1,0_µg/ml_tc,C02,65963.89841162726
r4,MG1655_1,0_µg/ml_tc,C03,69726.64879907039
r4,MG1655_1,0_µg/ml_tc,C04,50073.90820635426
r4,MG1655_2,0_µg/ml_tc,C05,90955.76121637595
r4,MG1655_2,0_µg/ml_tc,C06,42642.590467597045
r4,MG1655_2,0_µg/ml_tc,C07,84272.67521277477
r4,MG1655_2,0_µg/ml_tc,C08,166981.24849440277
r4,MG1655_3,0_µg/ml_tc,C09,40073.49519848307
r4,MG1655_3,0_µg/ml_tc,C10,80603.07773717926
r4,MG1655_3,0_µg/ml_tc,C11,90994.4010928235
r4,MG1655_3,0_µg/ml_tc,C12,82353.41628870652
r4,MG1655_1,0_µg/ml_tc,D01,42692.882485333284
r4,MG1655_1,0_µg/ml_tc,D02,67130.25577410717
r4,MG1655_1,0_µg/ml_tc,D03,74850.03361480712
r4,MG1655_1,0_µg/ml_tc,D04,52241.45574577112
r4,MG1655_2,0_µg/ml_tc,D05,50971.2158740887
r4,MG1655_2,0_µg/ml_tc,D06,81261.40115590987
r4,MG1655_2,0_µg/ml_tc,D07,138964.68395795638
r4,MG1655_2,0_µg/ml_tc,D08,129190.9372254821
r4,MG1655_3,0_µg/ml_tc,D09,116599.87035707658
r4,MG1655_3,0_µg/ml_tc,D10,85661.48736933815
r4,MG1655_3,0_µg/ml_tc,D11,66596.43393244248
r4,MG1655_3,0_µg/ml_tc,D12,105830.67135160569
r4,MG1655_1,0_µg/ml_tc,E01,49528.43157018151
r4,MG1655_1,0_µg/ml_tc,E02,55939.07071463544
r4,MG1655_1,0_µg/ml_tc,E03,62883.778579914244
r4,MG1655_1,0_µg/ml_tc,E04,111903.90224161062
r4,MG1655_2,0_µg/ml_tc,E05,158380.3709729443
r4,MG1655_2,0_µg/ml_tc,E06,106768.85184661881
r4,MG1655_2,0_µg/ml_tc,E07,79353.05487246012
r4,MG1655_2,0_µg/ml_tc,E08,90136.34966246264
r4,MG1655_3,0_µg/ml_tc,E09,104914.31446722201
r4,MG1655_3,0_µg/ml_tc,E10,81021.01182618612
r4,MG1655_3,0_µg/ml_tc,E11,116068.04918950898
r4,MG1655_3,0_µg/ml_tc,E12,48406.62955951103
r4,MG1655_1,0_µg/ml_tc,F01,64225.020484759894
r4,MG1655_1,0_µg/ml_tc,F02,238244.1917412537
r4,MG1655_1,0_µg/ml_tc,F03,80035.81243051856
r4,MG1655_1,0_µg/ml_tc,F04,72716.0850219642
r4,MG1655_2,0_µg/ml_tc,F05,75901.83667294018
r4,MG1655_2,0_µg/ml_tc,F06,49335.75912566959
r4,MG1655_2,0_µg/ml_tc,F07,317413.5318576596
r4,MG1655_2,0_µg/ml_tc,F08,174146.82152971774
r4,MG1655_3,0_µg/ml_tc,F09,82746.66816071795
r4,MG1655_3,0_µg/ml_tc,F10,115708.34594662768
