run,strain,pos_selection,well,growth_rate
r4,MG1655_3,0_µg/ml_tc,F11,110784.17270187427
r4,MG1655_3,0_µg/ml_tc,F12,81883.87497115038
r4,MG1655_1,0_µg/ml_tc,G01,193984.48134474122
r4,MG1655_1,0_µg/ml_tc,G02,82090.82479499315
r4,MG1655_1,0_µg/ml_tc,G03,73507.99713094014
r4,MG1655_1,0_µg/ml_tc,G04,59032.8307436045
r4,MG1655_2,0_µg/ml_tc,G05,97956.91222242978
r4,MG1655_2,0_µg/ml_tc,G06,64392.54685023737
r4,MG1655_2,0_µg/ml_tc,G07,176773.02423224365
r4,MG1655_2,0_µg/ml_tc,G08,75429.6648432939
r4,MG1655_3,0_µg/ml_tc,G09,103827.40281656536
r4,MG1655_3,0_µg/ml_tc,G10,117509.37998232603
r4,MG1655_3,0_µg/ml_tc,G11,129293.73553339628
r4,MG1655_3,0_µg/ml_tc,G12,213198.84981730246
r4,MG1655_1,0_µg/ml_tc,H01,95763.9115273677
r4,MG1655_1,0_µg/ml_tc,H02,106792.26639152342
r4,MG1655_1,0_µg/ml_tc,H03,46347.47282561386
r4,MG1655_1,0_µg/ml_tc,H04,48298.60188225661
r4,MG1655_2,0_µg/ml_tc,H05,58664.33699219408
r4,MG1655_2,0_µg/ml_tc,H06,77112.13127458062
r4,MG1655_2,0_µg/ml_tc,H07,53213.784109939945
r4,MG1655_2,0_µg/ml_tc,H08,102489.94452070487
r4,MG1655_3,0_µg/ml_tc,H09,55344.39666274476
r4,MG1655_3,0_µg/ml_tc,H10,397685.2541863536
r4,MG1655_3,0_µg/ml_tc,H11,177024.29897033476
r4,MG1655_3,0_µg/ml_tc,H12,89559.80132181493
