run,strain,pos_selection,well,exp_growth_rate
r1,MG1655_1,0_µg/ml_tc,A02,0.009335909358895044
r1,3.19_1,0_µg/ml_tc,A03,0.009337901947356193
r1,IW_1,0_µg/ml_tc,A04,0.00916172556657681
r1,MG1655_1,0.4_µg/ml_tc,A05,0.003985767163089405
r1,3.19_1,0.4_µg/ml_tc,A06,0.005808815659454255
r1,IW_1,0.4_µg/ml_tc,A07,0.008015845743780094
r1,WTlac_1,0.4_µg/ml_tc,A08,0.008956120349619455
r1,lacUV5_1,0.4_µg/ml_tc,A09,0.008542631959587595
r1,WTlac_1,0_µg/ml_tc,B01,0.008632921362829843
r1,lacUV5_1,0_µg/ml_tc,B02,0.00851153407319387
r1,MG1655_2,0_µg/ml_tc,B03,0.008331419215413319
r1,3.19_2,0_µg/ml_tc,B04,0.00922658452136731
r1,MG1655_2,0.4_µg/ml_tc,B05,0.0039048720547748736
r1,3.19_2,0.4_µg/ml_tc,B06,0.006209305527677692
r1,IW_2,0.4_µg/ml_tc,B07,0.008481381646720115
r1,WTlac_2,0.4_µg/ml_tc,B08,0.008949025359235738
r1,lacUV5_2,0.4_µg/ml_tc,B09,0.009113101768645418
r1,3.19_1,1.0_µg/ml_tc,B10,0.0019055936357214585
r1,IW_1,1.0_µg/ml_tc,B11,0.0043203633630220185
r1,WTlac_2,1.0_µg/ml_tc,B12,0.00805262082504308
r1,IW_2,0_µg/ml_tc,C01,0.009198543449473283
r1,WTlac_2,0_µg/ml_tc,C02,0.008573298228264057
r1,lacUV5_2,0_µg/ml_tc,C03,0.008809402620459827
r1,MG1655_1,0_µg/ml_tc,C04,0.009655970201528998
r1,MG1655_1,0.4_µg/ml_tc,C05,0.004260890664948935
r1,3.19_1,0.4_µg/ml_tc,C06,0.006086134983676181
r1,IW_1,0.4_µg/ml_tc,C07,0.008201512274367988
r1,WTlac_1,0.4_µg/ml_tc,C08,0.008963573946416874
r1,lacUV5_1,0.4_µg/ml_tc,C09,0.008886630734272134
r1,lacUV5_1,1.0_µg/ml_tc,C10,0.008928901895173154
r1,MG1655_2,1.0_µg/ml_tc,C11,0.0018081498264674281
r1,3.19_2,1.0_µg/ml_tc,C12,0.0022153301834697357
