run,strain,pos_selection,well,exp_growth_rate
r5,MG1655_1,0_µg/ml_tc,A02,0.008432510480149893
r5,MG1655_1,0_µg/ml_tc,A03,0.008604817452229426
r5,MG1655_1,0_µg/ml_tc,A04,0.008319441798449682
r5,MG1655_2,0_µg/ml_tc,A05,0.008338433537240182
r5,MG1655_2,0_µg/ml_tc,A06,0.008224799066861337
r5,MG1655_2,0_µg/ml_tc,A07,0.008452227887284482
r5,MG1655_2,0_µg/ml_tc,A08,0.008374274984175853
r5,MG1655_3,0_µg/ml_tc,A09,0.008167826757214605
r5,MG1655_3,0_µg/ml_tc,A10,0.008244915836634316
r5,MG1655_3,0_µg/ml_tc,A11,0.008054681256876792
r5,MG1655_1,0_µg/ml_tc,B01,0.008447085417712736
r5,MG1655_1,0_µg/ml_tc,B02,0.008578697958879025
r5,MG1655_1,0_µg/ml_tc,B03,0.008599496577923233
r5,MG1655_1,0_µg/ml_tc,B04,0.008559652416116167
r5,MG1655_2,0_µg/ml_tc,B05,0.008704071385001445
r5,MG1655_2,0_µg/ml_tc,B06,0.008730240594838595
r5,MG1655_2,0_µg/ml_tc,B07,0.009120101732389422
r5,MG1655_2,0_µg/ml_tc,B08,0.008722749875306886
r5,MG1655_3,0_µg/ml_tc,B09,0.00862803297671906
r5,MG1655_3,0_µg/ml_tc,B10,0.008573132715066161
r5,MG1655_3,0_µg/ml_tc,B11,0.008245686434378823
r5,MG1655_3,0_µg/ml_tc,B12,0.00838160250810936
r5,MG1655_1,0_µg/ml_tc,C01,0.008875163781000532
r5,MG1655_1,0_µg/ml_tc,C02,0.008782312124016731
r5,MG1655_1,0_µg/ml_tc,C03,0.008998574154979417
r5,MG1655_1,0_µg/ml_tc,C04,0.008955333320305157
r5,MG1655_2,0_µg/ml_tc,C05,0.008857154761988057
r5,MG1655_2,0_µg/ml_tc,C06,0.009113316854180523
r5,MG1655_2,0_µg/ml_tc,C07,0.009542858336381627
r5,MG1655_2,0_µg/ml_tc,C08,0.00936496446345248
r5,MG1655_3,0_µg/ml_tc,C09,0.008791295632631353
r5,MG1655_3,0_µg/ml_tc,C10,0.008435162187640184
r5,MG1655_3,0_µg/ml_tc,C11,0.010546172726093475
r5,MG1655_3,0_µg/ml_tc,C12,0.008214482414398245
r5,MG1655_1,0_µg/ml_tc,D01,0.008571720872291662
r5,MG1655_1,0_µg/ml_tc,D02,0.009121494492929674
r5,MG1655_1,0_µg/ml_tc,D03,0.009246585391644
r5,MG1655_1,0_µg/ml_tc,D04,0.009148241846632942
r5,MG1655_2,0_µg/ml_tc,D05,0.009276295577765796
r5,MG1655_2,0_µg/ml_tc,D06,0.008871942479497729
r5,MG1655_2,0_µg/ml_tc,D07,0.00940057052061059
r5,MG1655_2,0_µg/ml_tc,D08,0.008991463552890336
r5,MG1655_3,0_µg/ml_tc,D09,0.009665571853863766
r5,MG1655_3,0_µg/ml_tc,D10,0.008996987234850654
r5,MG1655_3,0_µg/ml_tc,D11,0.00859882962764
r5,MG1655_3,0_µg/ml_tc,D12,0.008491465619448193
r5,MG1655_1,0_µg/ml_tc,E01,0.008726878638868762
r5,MG1655_1,0_µg/ml_tc,E02,0.008851412748276617
r5,MG1655_1,0_µg/ml_tc,E03,0.00937268187546935
r5,MG1655_1,0_µg/ml_tc,E04,0.009140074465861908
r5,MG1655_2,0_µg/ml_tc,E05,0.009295218640722495
r5,MG1655_2,0_µg/ml_tc,E06,0.00936596553594863
r5,MG1655_2,0_µg/ml_tc,E07,0.009630621027406739
r5,MG1655_2,0_µg/ml_tc,E08,0.009638637085084814
r5,MG1655_3,0_µg/ml_tc,E09,0.009079345566758872
r5,MG1655_3,0_µg/ml_tc,E10,0.009007455219954979
r5,MG1655_3,0_µg/ml_tc,E11,0.008587200749118194
r5,MG1655_3,0_µg/ml_tc,E12,0.008473591962801851
r5,MG1655_1,0_µg/ml_tc,F01,0.008483824560249056
r5,MG1655_1,0_µg/ml_tc,F02,0.008807880788823613
r5,MG1655_1,0_µg/ml_tc,F03,0.008790095024164129
r5,MG1655_1,0_µg/ml_tc,F04,0.00847006614414612
r5,MG1655_2,0_µg/ml_tc,F05,0.009081868117583155
r5,MG1655_2,0_µg/ml_tc,F06,0.009520209535320198
r5,MG1655_2,0_µg/ml_tc,F07,0.008998200391562863
r5,MG1655_2,0_µg/ml_tc,F08,0.00895022226261326
r5,MG1655_3,0_µg/ml_tc,F09,0.009023743248517794
r5,MG1655_3,0_µg/ml_tc,F10,0.00893074154758313
r5,MG1655_3,0_µg/ml_tc,F11,0.008568092063837367
r5,MG1655_3,0_µg/ml_tc,F12,0.008519685635410914
r5,MG1655_1,0_µg/ml_tc,G01,0.008684508371940451
r5,MG1655_1,0_µg/ml_tc,G02,0.008424206601748373
r5,MG1655_1,0_µg/ml_tc,G03,0.0086380065880132
r5,MG1655_1,0_µg/ml_tc,G04,0.00857160315304161
r5,MG1655_2,0_µg/ml_tc,G05,0.00820382594358011
r5,MG1655_2,0_µg/ml_tc,G06,0.008848882995565752
r5,MG1655_2,0_µg/ml_tc,G07,0.00877998542241748
r5,MG1655_2,0_µg/ml_tc,G08,0.008327739853547152
r5,MG1655_3,0_µg/ml_tc,G09,0.00856304115762785
r5,MG1655_3,0_µg/ml_tc,G10,0.008347531457798471
r5,MG1655_3,0_µg/ml_tc,G11,0.008381116113214581
r5,MG1655_3,0_µg/ml_tc,G12,0.008297469956714335
r5,MG1655_1,0_µg/ml_tc,H02,0.008242469212982894
r5,MG1655_1,0_µg/ml_tc,H03,0.008428380157110673
r5,MG1655_1,0_µg/ml_tc,H04,0.008002742836166539
r5,MG1655_2,0_µg/ml_tc,H05,0.008478693663793979
r5,MG1655_2,0_µg/ml_tc,H06,0.008229087073035208
r5,MG1655_2,0_µg/ml_tc,H07,0.0075227785655189415
r5,MG1655_2,0_µg/ml_tc,H08,0.00789065188668381
r5,MG1655_3,0_µg/ml_tc,H09,0.008084089668124073
r5,MG1655_3,0_µg/ml_tc,H10,0.007974809442078139
r5,MG1655_3,0_µg/ml_tc,H11,0.008145820062098243
