# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = exponential_growth_model
# start_datetime = 2022-07-06 23:20:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 75
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/tomroeschinger/git/resistance_evolution/processing/plate_reader/20220701_r4_MG1655_calibration/stan/exponential_growth_data_2.json
# init = 2 (Default)
# random
#   seed = 3707388677 (Default)
# output
#   file = /Users/tomroeschinger/git/resistance_evolution/processing/plate_reader/20220701_r4_MG1655_calibration/stan/exponential_growth_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_10_tau,y_0,sigma_0,tau,lambda,y_th.1,y_th.2,y_th.3,y_th.4,y_th.5,y_th.6,y_th.7,y_th.8,y_th.9,y_th.10,y_th.11,y_th.12,y_th.13,y_th.14,y_th.15,y_th.16,y_th.17,y_th.18,y_th.19,y_ppc.1,y_ppc.2,y_ppc.3,y_ppc.4,y_ppc.5,y_ppc.6,y_ppc.7,y_ppc.8,y_ppc.9,y_ppc.10,y_ppc.11,y_ppc.12,y_ppc.13,y_ppc.14,y_ppc.15,y_ppc.16,y_ppc.17,y_ppc.18,y_ppc.19
# Adaptation terminated
# Step size = 0.0532211
# Diagonal elements of inverse mass matrix:
# 1.30891e-05, 0.000121372, 0.00610924
49.1791,0.951408,0.0532211,6,63,0,-46.95,1.93199,0.0142938,0.00576411,85.5039,0.00810661,-1.98483,-1.92808,-1.87134,-1.81459,-1.75784,-1.7011,-1.64435,-1.58761,-1.53086,-1.47411,-1.41737,-1.36062,-1.30387,-1.24713,-1.19038,-1.13364,-1.07689,-1.02014,-0.963396,-1.98483,-1.92808,-1.87134,-1.81459,-1.75784,-1.7011,-1.64435,-1.58761,-1.53086,-1.47411,-1.41737,-1.36062,-1.30387,-1.24713,-1.19038,-1.13364,-1.07689,-1.02014,-0.963396
51.6819,0.973425,0.0532211,6,63,0,-48.4946,1.92351,0.0135252,0.00524481,83.8509,0.00826643,-1.99549,-1.93763,-1.87976,-1.8219,-1.76403,-1.70617,-1.6483,-1.59044,-1.53257,-1.47471,-1.41684,-1.35898,-1.30111,-1.24325,-1.18538,-1.12752,-1.06965,-1.01179,-0.953923,-1.99549,-1.93763,-1.87976,-1.8219,-1.76403,-1.70617,-1.6483,-1.59044,-1.53257,-1.47471,-1.41684,-1.35898,-1.30111,-1.24325,-1.18538,-1.12752,-1.06965,-1.01179,-0.953923
53.7755,0.999921,0.0532211,6,63,0,-51.4014,1.92617,0.0137574,0.00510205,84.3662,0.00821594,-1.99256,-1.93505,-1.87754,-1.82003,-1.76252,-1.70501,-1.64749,-1.58998,-1.53247,-1.47496,-1.41745,-1.35994,-1.30242,-1.24491,-1.1874,-1.12989,-1.07238,-1.01487,-0.957355,-1.99256,-1.93505,-1.87754,-1.82003,-1.76252,-1.70501,-1.64749,-1.58998,-1.53247,-1.47496,-1.41745,-1.35994,-1.30242,-1.24491,-1.1874,-1.12989,-1.07238,-1.01487,-0.957355
53.3713,0.999645,0.0532211,5,31,0,-53.2529,1.92573,0.0137167,0.00490875,84.2813,0.00822421,-1.99322,-1.93565,-1.87808,-1.82051,-1.76294,-1.70537,-1.6478,-1.59023,-1.53266,-1.47509,-1.41752,-1.35995,-1.30238,-1.24481,-1.18724,-1.12968,-1.07211,-1.01454,-0.956967,-1.99322,-1.93565,-1.87808,-1.82051,-1.76294,-1.70537,-1.6478,-1.59023,-1.53266,-1.47509,-1.41752,-1.35995,-1.30238,-1.24481,-1.18724,-1.12968,-1.07211,-1.01454,-0.956967
53.0718,0.71615,0.0532211,6,127,0,-51.4989,1.92556,0.0136877,0.00549981,84.2478,0.00822748,-1.99442,-1.93683,-1.87924,-1.82165,-1.76405,-1.70646,-1.64887,-1.59128,-1.53368,-1.47609,-1.4185,-1.36091,-1.30332,-1.24572,-1.18813,-1.13054,-1.07295,-1.01535,-0.957761,-1.99442,-1.93683,-1.87924,-1.82165,-1.76405,-1.70646,-1.64887,-1.59128,-1.53368,-1.47609,-1.4185,-1.36091,-1.30332,-1.24572,-1.18813,-1.13054,-1.07295,-1.01535,-0.957761
50.1018,0.994624,0.0532211,6,63,0,-49.7963,1.92519,0.0136721,0.00648447,84.1765,0.00823445,-1.99362,-1.93597,-1.87833,-1.82069,-1.76305,-1.70541,-1.64777,-1.59013,-1.53249,-1.47484,-1.4172,-1.35956,-1.30192,-1.24428,-1.18664,-1.129,-1.07136,-1.01372,-0.956074,-1.99362,-1.93597,-1.87833,-1.82069,-1.76305,-1.70541,-1.64777,-1.59013,-1.53249,-1.47484,-1.4172,-1.35956,-1.30192,-1.24428,-1.18664,-1.129,-1.07136,-1.01372,-0.956074
50.5062,0.914343,0.0532211,3,15,0,-48.7787,1.92507,0.0136705,0.00633931,84.1529,0.00823676,-1.99309,-1.93543,-1.87777,-1.82012,-1.76246,-1.7048,-1.64715,-1.58949,-1.53183,-1.47417,-1.41652,-1.35886,-1.3012,-1.24354,-1.18589,-1.12823,-1.07057,-1.01291,-0.955257,-1.99309,-1.93543,-1.87777,-1.82012,-1.76246,-1.7048,-1.64715,-1.58949,-1.53183,-1.47417,-1.41652,-1.35886,-1.3012,-1.24354,-1.18589,-1.12823,-1.07057,-1.01291,-0.955257
52.7809,0.984885,0.0532211,6,63,0,-49.9994,1.92478,0.0136444,0.00529832,84.0971,0.00824223,-1.99347,-1.93577,-1.87808,-1.82038,-1.76269,-1.70499,-1.6473,-1.5896,-1.53191,-1.47421,-1.41651,-1.35882,-1.30112,-1.24343,-1.18573,-1.12804,-1.07034,-1.01265,-0.95495,-1.99347,-1.93577,-1.87808,-1.82038,-1.76269,-1.70499,-1.6473,-1.5896,-1.53191,-1.47421,-1.41651,-1.35882,-1.30112,-1.24343,-1.18573,-1.12804,-1.07034,-1.01265,-0.95495
52.4503,0.964795,0.0532211,2,3,0,-52.313,1.92475,0.0136472,0.00530342,84.0909,0.00824283,-1.9931,-1.9354,-1.8777,-1.82,-1.7623,-1.7046,-1.6469,-1.5892,-1.5315,-1.4738,-1.4161,-1.3584,-1.3007,-1.243,-1.1853,-1.1276,-1.0699,-1.0122,-0.954501,-1.9931,-1.9354,-1.8777,-1.82,-1.7623,-1.7046,-1.6469,-1.5892,-1.5315,-1.4738,-1.4161,-1.3584,-1.3007,-1.243,-1.1853,-1.1276,-1.0699,-1.0122,-0.954501
52.3031,0.979665,0.0532211,2,3,0,-52.173,1.9252,0.0136455,0.00530367,84.1787,0.00823424,-1.99562,-1.93798,-1.88034,-1.8227,-1.76506,-1.70742,-1.64978,-1.59214,-1.5345,-1.47686,-1.41922,-1.36158,-1.30394,-1.2463,-1.18866,-1.13102,-1.07338,-1.01575,-0.958105,-1.99562,-1.93798,-1.88034,-1.8227,-1.76506,-1.70742,-1.64978,-1.59214,-1.5345,-1.47686,-1.41922,-1.36158,-1.30394,-1.2463,-1.18866,-1.13102,-1.07338,-1.01575,-0.958105
53.6836,0.997379,0.0532211,5,43,0,-51.6831,1.92746,0.013875,0.00546835,84.6175,0.00819153,-1.99086,-1.93352,-1.87618,-1.81884,-1.7615,-1.70416,-1.64682,-1.58948,-1.53214,-1.47479,-1.41745,-1.36011,-1.30277,-1.24543,-1.18809,-1.13075,-1.07341,-1.01607,-0.958728,-1.99086,-1.93352,-1.87618,-1.81884,-1.7615,-1.70416,-1.64682,-1.58948,-1.53214,-1.47479,-1.41745,-1.36011,-1.30277,-1.24543,-1.18809,-1.13075,-1.07341,-1.01607,-0.958728
52.5157,0.98284,0.0532211,4,27,0,-51.1431,1.92762,0.0138952,0.00593017,84.6494,0.00818845,-1.99027,-1.93295,-1.87563,-1.81831,-1.76099,-1.70367,-1.64635,-1.58903,-1.53171,-1.4744,-1.41708,-1.35976,-1.30244,-1.24512,-1.1878,-1.13048,-1.07316,-1.01584,-0.958523,-1.99027,-1.93295,-1.87563,-1.81831,-1.76099,-1.70367,-1.64635,-1.58903,-1.53171,-1.4744,-1.41708,-1.35976,-1.30244,-1.24512,-1.1878,-1.13048,-1.07316,-1.01584,-0.958523
52.8953,0.999979,0.0532211,5,31,0,-52.0861,1.92723,0.0138592,0.00582243,84.5724,0.0081959,-1.99078,-1.93341,-1.87604,-1.81867,-1.7613,-1.70393,-1.64656,-1.58919,-1.53181,-1.47444,-1.41707,-1.3597,-1.30233,-1.24496,-1.18759,-1.13022,-1.07284,-1.01547,-0.958101,-1.99078,-1.93341,-1.87604,-1.81867,-1.7613,-1.70393,-1.64656,-1.58919,-1.53181,-1.47444,-1.41707,-1.3597,-1.30233,-1.24496,-1.18759,-1.13022,-1.07284,-1.01547,-0.958101
