# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = exponential_growth_model
# start_datetime = 2022-07-06 23:20:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 75
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/tomroeschinger/git/resistance_evolution/processing/plate_reader/20220701_r4_MG1655_calibration/stan/exponential_growth_data_1.json
# init = 2 (Default)
# random
#   seed = 3707388662 (Default)
# output
#   file = /Users/tomroeschinger/git/resistance_evolution/processing/plate_reader/20220701_r4_MG1655_calibration/stan/exponential_growth_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_10_tau,y_0,sigma_0,tau,lambda,y_th.1,y_th.2,y_th.3,y_th.4,y_th.5,y_th.6,y_th.7,y_th.8,y_th.9,y_th.10,y_th.11,y_th.12,y_th.13,y_th.14,y_th.15,y_th.16,y_th.17,y_th.18,y_th.19,y_ppc.1,y_ppc.2,y_ppc.3,y_ppc.4,y_ppc.5,y_ppc.6,y_ppc.7,y_ppc.8,y_ppc.9,y_ppc.10,y_ppc.11,y_ppc.12,y_ppc.13,y_ppc.14,y_ppc.15,y_ppc.16,y_ppc.17,y_ppc.18,y_ppc.19
# Adaptation terminated
# Step size = 0.0488741
# Diagonal elements of inverse mass matrix:
# 1.3137e-05, 0.000127763, 0.00812759
53.1621,0.976522,0.0488741,6,63,0,-52.6554,1.92892,0.0140061,0.00539731,84.9031,0.00816398,-1.98915,-1.932,-1.87486,-1.81771,-1.76056,-1.70341,-1.64626,-1.58912,-1.53197,-1.47482,-1.41767,-1.36053,-1.30338,-1.24623,-1.18908,-1.13193,-1.07479,-1.01764,-0.96049,-1.98915,-1.932,-1.87486,-1.81771,-1.76056,-1.70341,-1.64626,-1.58912,-1.53197,-1.47482,-1.41767,-1.36053,-1.30338,-1.24623,-1.18908,-1.13193,-1.07479,-1.01764,-0.96049
53.2603,0.999966,0.0488741,6,63,0,-52.9433,1.92548,0.0136911,0.00493749,84.2325,0.00822897,-1.99376,-1.93615,-1.87855,-1.82095,-1.76335,-1.70574,-1.64814,-1.59054,-1.53294,-1.47533,-1.41773,-1.36013,-1.30252,-1.24492,-1.18732,-1.12972,-1.07211,-1.01451,-0.956907,-1.99376,-1.93615,-1.87855,-1.82095,-1.76335,-1.70574,-1.64814,-1.59054,-1.53294,-1.47533,-1.41773,-1.36013,-1.30252,-1.24492,-1.18732,-1.12972,-1.07211,-1.01451,-0.956907
52.6813,0.977322,0.0488741,6,63,0,-51.7793,1.92921,0.0140386,0.0050519,84.9587,0.00815863,-1.98832,-1.93121,-1.8741,-1.81699,-1.75988,-1.70277,-1.64566,-1.58855,-1.53144,-1.47433,-1.41722,-1.36011,-1.303,-1.24589,-1.18878,-1.13167,-1.07456,-1.01745,-0.960337,-1.98832,-1.93121,-1.8741,-1.81699,-1.75988,-1.70277,-1.64566,-1.58855,-1.53144,-1.47433,-1.41722,-1.36011,-1.303,-1.24589,-1.18878,-1.13167,-1.07456,-1.01745,-0.960337
50.7939,0.880152,0.0488741,6,63,0,-49.3478,1.92781,0.0138908,0.0063697,84.6853,0.00818497,-1.99156,-1.93426,-1.87697,-1.81967,-1.76238,-1.70508,-1.64779,-1.59049,-1.5332,-1.4759,-1.41861,-1.36131,-1.30402,-1.24672,-1.18943,-1.13213,-1.07484,-1.01754,-0.96025,-1.99156,-1.93426,-1.87697,-1.81967,-1.76238,-1.70508,-1.64779,-1.59049,-1.5332,-1.4759,-1.41861,-1.36131,-1.30402,-1.24672,-1.18943,-1.13213,-1.07484,-1.01754,-0.96025
52.8677,0.994432,0.0488741,5,63,0,-49.3585,1.92856,0.0139748,0.00480069,84.8327,0.00817075,-1.9895,-1.93231,-1.87511,-1.81792,-1.76072,-1.70352,-1.64633,-1.58913,-1.53194,-1.47474,-1.41755,-1.36035,-1.30316,-1.24596,-1.18877,-1.13157,-1.07438,-1.01718,-0.959987,-1.9895,-1.93231,-1.87511,-1.81792,-1.76072,-1.70352,-1.64633,-1.58913,-1.53194,-1.47474,-1.41755,-1.36035,-1.30316,-1.24596,-1.18877,-1.13157,-1.07438,-1.01718,-0.959987
52.407,0.997884,0.0488741,6,63,0,-50.4224,1.92449,0.013602,0.00566908,84.0416,0.00824767,-1.99506,-1.93733,-1.8796,-1.82186,-1.76413,-1.70639,-1.64866,-1.59093,-1.53319,-1.47546,-1.41773,-1.35999,-1.30226,-1.24452,-1.18679,-1.12906,-1.07132,-1.01359,-0.955856,-1.99506,-1.93733,-1.8796,-1.82186,-1.76413,-1.70639,-1.64866,-1.59093,-1.53319,-1.47546,-1.41773,-1.35999,-1.30226,-1.24452,-1.18679,-1.12906,-1.07132,-1.01359,-0.955856
