# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = exponential_growth_model
# start_datetime = 2022-07-06 23:20:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 75
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/tomroeschinger/git/resistance_evolution/processing/plate_reader/20220701_r4_MG1655_calibration/stan/exponential_growth_data_4.json
# init = 2 (Default)
# random
#   seed = 3707388708 (Default)
# output
#   file = /Users/tomroeschinger/git/resistance_evolution/processing/plate_reader/20220701_r4_MG1655_calibration/stan/exponential_growth_chain_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_10_tau,y_0,sigma_0,tau,lambda,y_th.1,y_th.2,y_th.3,y_th.4,y_th.5,y_th.6,y_th.7,y_th.8,y_th.9,y_th.10,y_th.11,y_th.12,y_th.13,y_th.14,y_th.15,y_th.16,y_th.17,y_th.18,y_th.19,y_ppc.1,y_ppc.2,y_ppc.3,y_ppc.4,y_ppc.5,y_ppc.6,y_ppc.7,y_ppc.8,y_ppc.9,y_ppc.10,y_ppc.11,y_ppc.12,y_ppc.13,y_ppc.14,y_ppc.15,y_ppc.16,y_ppc.17,y_ppc.18,y_ppc.19
# Adaptation terminated
# Step size = 0.0483269
# Diagonal elements of inverse mass matrix:
# 1.31305e-05, 0.000122919, 0.00720534
53.5211,0.673684,0.0483269,2,3,0,-51.149,1.92767,0.0138823,0.00492666,84.658,0.00818761,-1.99143,-1.93412,-1.8768,-1.81949,-1.76218,-1.70486,-1.64755,-1.59024,-1.53292,-1.47561,-1.4183,-1.36099,-1.30367,-1.24636,-1.18905,-1.13173,-1.07442,-1.01711,-0.959792,-1.99143,-1.93412,-1.8768,-1.81949,-1.76218,-1.70486,-1.64755,-1.59024,-1.53292,-1.47561,-1.4183,-1.36099,-1.30367,-1.24636,-1.18905,-1.13173,-1.07442,-1.01711,-0.959792
53.6881,0.999973,0.0483269,6,63,0,-53.2995,1.92654,0.0137801,0.00502966,84.4376,0.00820898,-1.99285,-1.93539,-1.87793,-1.82046,-1.763,-1.70554,-1.64807,-1.59061,-1.53315,-1.47569,-1.41822,-1.36076,-1.3033,-1.24583,-1.18837,-1.13091,-1.07345,-1.01598,-0.95852,-1.99285,-1.93539,-1.87793,-1.82046,-1.763,-1.70554,-1.64807,-1.59061,-1.53315,-1.47569,-1.41822,-1.36076,-1.3033,-1.24583,-1.18837,-1.13091,-1.07345,-1.01598,-0.95852
53.8889,0.998638,0.0483269,5,47,0,-52.7714,1.92686,0.0138208,0.00527279,84.5,0.00820293,-1.9916,-1.93418,-1.87676,-1.81934,-1.76192,-1.7045,-1.64708,-1.58966,-1.53223,-1.47481,-1.41739,-1.35997,-1.30255,-1.24513,-1.18771,-1.13029,-1.07287,-1.01545,-0.958029,-1.9916,-1.93418,-1.87676,-1.81934,-1.76192,-1.7045,-1.64708,-1.58966,-1.53223,-1.47481,-1.41739,-1.35997,-1.30255,-1.24513,-1.18771,-1.13029,-1.07287,-1.01545,-0.958029
53.6692,0.998351,0.0483269,5,63,0,-52.3553,1.92797,0.0139214,0.00509683,84.717,0.00818192,-1.99021,-1.93294,-1.87567,-1.81839,-1.76112,-1.70385,-1.64657,-1.5893,-1.53203,-1.47475,-1.41748,-1.36021,-1.30293,-1.24566,-1.18838,-1.13111,-1.07384,-1.01656,-0.959291,-1.99021,-1.93294,-1.87567,-1.81839,-1.76112,-1.70385,-1.64657,-1.5893,-1.53203,-1.47475,-1.41748,-1.36021,-1.30293,-1.24566,-1.18838,-1.13111,-1.07384,-1.01656,-0.959291
53.6053,0.998081,0.0483269,6,63,0,-53.3324,1.92691,0.0138187,0.00487309,84.5108,0.00820188,-1.99204,-1.93463,-1.87722,-1.8198,-1.76239,-1.70498,-1.64756,-1.59015,-1.53274,-1.47532,-1.41791,-1.3605,-1.30308,-1.24567,-1.18826,-1.13084,-1.07343,-1.01602,-0.958606,-1.99204,-1.93463,-1.87722,-1.8198,-1.76239,-1.70498,-1.64756,-1.59015,-1.53274,-1.47532,-1.41791,-1.3605,-1.30308,-1.24567,-1.18826,-1.13084,-1.07343,-1.01602,-0.958606
52.2942,0.99849,0.0483269,6,63,0,-51.5658,1.92951,0.0140547,0.00487828,85.0182,0.00815293,-1.98877,-1.9317,-1.87463,-1.81756,-1.76049,-1.70342,-1.64635,-1.58928,-1.53221,-1.47514,-1.41807,-1.361,-1.30393,-1.24686,-1.18979,-1.13272,-1.07564,-1.01857,-0.961504,-1.98877,-1.9317,-1.87463,-1.81756,-1.76049,-1.70342,-1.64635,-1.58928,-1.53221,-1.47514,-1.41807,-1.361,-1.30393,-1.24686,-1.18979,-1.13272,-1.07564,-1.01857,-0.961504
52.6005,0.932571,0.0483269,6,127,0,-51.2747,1.92629,0.0137749,0.00591193,84.3905,0.00821357,-1.99195,-1.93446,-1.87696,-1.81947,-1.76197,-1.70448,-1.64698,-1.58949,-1.53199,-1.4745,-1.417,-1.35951,-1.30201,-1.24452,-1.18702,-1.12953,-1.07203,-1.01454,-0.957041,-1.99195,-1.93446,-1.87696,-1.81947,-1.76197,-1.70448,-1.64698,-1.58949,-1.53199,-1.4745,-1.417,-1.35951,-1.30201,-1.24452,-1.18702,-1.12953,-1.07203,-1.01454,-0.957041
51.8214,0.938677,0.0483269,6,63,0,-49.3245,1.92916,0.014045,0.00575473,84.9497,0.0081595,-1.98763,-1.93051,-1.87339,-1.81628,-1.75916,-1.70204,-1.64493,-1.58781,-1.5307,-1.47358,-1.41646,-1.35935,-1.30223,-1.24511,-1.188,-1.13088,-1.07376,-1.01665,-0.95953,-1.98763,-1.93051,-1.87339,-1.81628,-1.75916,-1.70204,-1.64493,-1.58781,-1.5307,-1.47358,-1.41646,-1.35935,-1.30223,-1.24511,-1.188,-1.13088,-1.07376,-1.01665,-0.95953
51.2537,0.993349,0.0483269,6,63,0,-50.4198,1.9301,0.0141299,0.00513536,85.1335,0.00814188,-1.98652,-1.92953,-1.87253,-1.81554,-1.75855,-1.70155,-1.64456,-1.58757,-1.53057,-1.47358,-1.41659,-1.35959,-1.3026,-1.24561,-1.18861,-1.13162,-1.07463,-1.01764,-0.960642,-1.98652,-1.92953,-1.87253,-1.81554,-1.75855,-1.70155,-1.64456,-1.58757,-1.53057,-1.47358,-1.41659,-1.35959,-1.3026,-1.24561,-1.18861,-1.13162,-1.07463,-1.01764,-0.960642
