# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = exponential_growth_model
# start_datetime = 2022-07-06 23:20:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 75
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/tomroeschinger/git/resistance_evolution/processing/plate_reader/20220701_r4_MG1655_calibration/stan/exponential_growth_data_3.json
# init = 2 (Default)
# random
#   seed = 3707388693 (Default)
# output
#   file = /Users/tomroeschinger/git/resistance_evolution/processing/plate_reader/20220701_r4_MG1655_calibration/stan/exponential_growth_chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_10_tau,y_0,sigma_0,tau,lambda,y_th.1,y_th.2,y_th.3,y_th.4,y_th.5,y_th.6,y_th.7,y_th.8,y_th.9,y_th.10,y_th.11,y_th.12,y_th.13,y_th.14,y_th.15,y_th.16,y_th.17,y_th.18,y_th.19,y_ppc.1,y_ppc.2,y_ppc.3,y_ppc.4,y_ppc.5,y_ppc.6,y_ppc.7,y_ppc.8,y_ppc.9,y_ppc.10,y_ppc.11,y_ppc.12,y_ppc.13,y_ppc.14,y_ppc.15,y_ppc.16,y_ppc.17,y_ppc.18,y_ppc.19
# Adaptation terminated
# Step size = 0.050307
# Diagonal elements of inverse mass matrix:
# 1.3412e-05, 0.000138493, 0.00478656
53.3547,0.96583,0.050307,4,31,0,-51.8668,1.92748,0.0138565,0.00538055,84.622,0.0081911,-1.99232,-1.93498,-1.87764,-1.8203,-1.76297,-1.70563,-1.64829,-1.59095,-1.53361,-1.47628,-1.41894,-1.3616,-1.30426,-1.24693,-1.18959,-1.13225,-1.07491,-1.01757,-0.960237,-1.99232,-1.93498,-1.87764,-1.8203,-1.76297,-1.70563,-1.64829,-1.59095,-1.53361,-1.47628,-1.41894,-1.3616,-1.30426,-1.24693,-1.18959,-1.13225,-1.07491,-1.01757,-0.960237
53.2866,0.997906,0.050307,5,43,0,-52.8198,1.9261,0.0137654,0.00529551,84.352,0.00821732,-1.9916,-1.93408,-1.87655,-1.81903,-1.76151,-1.70399,-1.64647,-1.58895,-1.53143,-1.47391,-1.41638,-1.35886,-1.30134,-1.24382,-1.1863,-1.12878,-1.07126,-1.01374,-0.956215,-1.9916,-1.93408,-1.87655,-1.81903,-1.76151,-1.70399,-1.64647,-1.58895,-1.53143,-1.47391,-1.41638,-1.35886,-1.30134,-1.24382,-1.1863,-1.12878,-1.07126,-1.01374,-0.956215
50.3105,0.975325,0.050307,6,63,0,-49.3949,1.92609,0.0137311,0.00431658,84.3509,0.00821742,-1.99406,-1.93654,-1.87902,-1.82149,-1.76397,-1.70645,-1.64893,-1.59141,-1.53388,-1.47636,-1.41884,-1.36132,-1.3038,-1.24627,-1.18875,-1.13123,-1.07371,-1.01619,-0.958664,-1.99406,-1.93654,-1.87902,-1.82149,-1.76397,-1.70645,-1.64893,-1.59141,-1.53388,-1.47636,-1.41884,-1.36132,-1.3038,-1.24627,-1.18875,-1.13123,-1.07371,-1.01619,-0.958664
51.3761,0.960798,0.050307,5,31,0,-49.9739,1.92685,0.0138062,0.00436333,84.498,0.00820312,-1.9926,-1.93518,-1.87776,-1.82034,-1.76291,-1.70549,-1.64807,-1.59065,-1.53323,-1.4758,-1.41838,-1.36096,-1.30354,-1.24612,-1.1887,-1.13127,-1.07385,-1.01643,-0.959009,-1.9926,-1.93518,-1.87776,-1.82034,-1.76291,-1.70549,-1.64807,-1.59065,-1.53323,-1.4758,-1.41838,-1.36096,-1.30354,-1.24612,-1.1887,-1.13127,-1.07385,-1.01643,-0.959009
51.6796,0.758481,0.050307,4,19,0,-50.1119,1.92709,0.0138206,0.00450599,84.5458,0.00819848,-1.99285,-1.93546,-1.87807,-1.82068,-1.7633,-1.70591,-1.64852,-1.59113,-1.53374,-1.47635,-1.41896,-1.36157,-1.30418,-1.24679,-1.1894,-1.13201,-1.07462,-1.01723,-0.959844,-1.99285,-1.93546,-1.87807,-1.82068,-1.7633,-1.70591,-1.64852,-1.59113,-1.53374,-1.47635,-1.41896,-1.36157,-1.30418,-1.24679,-1.1894,-1.13201,-1.07462,-1.01723,-0.959844
52.5832,0.34876,0.050307,2,7,0,-47.7126,1.92685,0.0138156,0.00454489,84.4989,0.00820303,-1.99194,-1.93452,-1.8771,-1.81968,-1.76226,-1.70484,-1.64742,-1.59,-1.53257,-1.47515,-1.41773,-1.36031,-1.30289,-1.24547,-1.18805,-1.13063,-1.0732,-1.01578,-0.958362,-1.99194,-1.93452,-1.8771,-1.81968,-1.76226,-1.70484,-1.64742,-1.59,-1.53257,-1.47515,-1.41773,-1.36031,-1.30289,-1.24547,-1.18805,-1.13063,-1.0732,-1.01578,-0.958362
