run,strain,pos_selection,well,exp_growth_rate
r2,MG1655_1,0.0_µg/ml_tc,A02,0.0115647183208505
r2,MG1655_2,0.0_µg/ml_tc,A03,0.018299192737864366
r2,3.19_1,0.0_µg/ml_tc,A04,0.011841130262337091
r2,3.19_2,0.0_µg/ml_tc,A05,0.01135251430721973
r2,IW_1,0.0_µg/ml_tc,A06,0.011511217367359484
r2,IW_2,0.0_µg/ml_tc,A07,0.011604192559136148
r2,WTlac_1,0.0_µg/ml_tc,A08,0.011196993189941398
r2,WTlac_2,0.0_µg/ml_tc,A09,0.011152001010710908
r2,lacUV5_1,0.0_µg/ml_tc,A10,0.011146347747233323
r2,lacUV5_2,0.0_µg/ml_tc,A11,0.010988278289791216
r2,MG1655_1,0.0_µg/ml_tc,B02,0.011229687197086563
r2,MG1655_2,0.0_µg/ml_tc,B03,0.011400891719719022
r2,3.19_1,0.0_µg/ml_tc,B04,0.011457952818019377
r2,3.19_2,0.0_µg/ml_tc,B05,0.011820813797056963
r2,IW_1,0.0_µg/ml_tc,B06,0.011520382852348897
r2,IW_2,0.0_µg/ml_tc,B07,0.011626846110923038
r2,WTlac_1,0.0_µg/ml_tc,B08,0.011598363853528321
r2,WTlac_2,0.0_µg/ml_tc,B09,0.01123965193399773
r2,lacUV5_1,0.0_µg/ml_tc,B10,0.011265177435100464
r2,lacUV5_2,0.0_µg/ml_tc,B11,0.011304474966372244
r2,IW_1,1.93_µg/ml_tc,C06,0.007268720255581451
r2,IW_2,1.93_µg/ml_tc,C07,0.006360119270405001
r2,WTlac_1,1.93_µg/ml_tc,C08,0.010284598753299904
r2,WTlac_2,1.93_µg/ml_tc,C09,0.010395401327764191
r2,lacUV5_1,1.93_µg/ml_tc,C10,0.011048879260230392
r2,lacUV5_2,1.93_µg/ml_tc,C11,0.011679064954780834
r2,IW_1,1.93_µg/ml_tc,D06,0.006457484311625543
r2,IW_2,1.93_µg/ml_tc,D07,0.00599985934733191
r2,WTlac_1,1.93_µg/ml_tc,D08,0.010439669912785783
r2,WTlac_2,1.93_µg/ml_tc,D09,0.010703158673243755
r2,lacUV5_1,1.93_µg/ml_tc,D10,0.010819490563139194
r2,lacUV5_2,1.93_µg/ml_tc,D11,0.01201720893878383
r2,IW_1,3.16_µg/ml_tc,E06,0.004869603076279496
r2,IW_2,3.16_µg/ml_tc,E07,0.004329120141376346
r2,WTlac_1,3.16_µg/ml_tc,E08,0.009938048606748006
r2,WTlac_2,3.16_µg/ml_tc,E09,0.009702003585945971
r2,lacUV5_1,3.16_µg/ml_tc,E10,0.010900433378888293
r2,lacUV5_2,3.16_µg/ml_tc,E11,0.01112687840499721
r2,IW_1,3.16_µg/ml_tc,F06,0.0047369542917571695
r2,IW_2,3.16_µg/ml_tc,F07,0.0043305431987778935
r2,WTlac_1,3.16_µg/ml_tc,F08,0.010001994224004227
r2,WTlac_2,3.16_µg/ml_tc,F09,0.009750147349554445
r2,lacUV5_1,3.16_µg/ml_tc,F10,0.011056880973297772
r2,lacUV5_2,3.16_µg/ml_tc,F11,0.011878952077020041
r2,WTlac_1,5.18_µg/ml_tc,G08,0.010194608232086047
r2,WTlac_2,5.18_µg/ml_tc,G09,0.009875823011392209
r2,lacUV5_1,5.18_µg/ml_tc,G10,0.010556987194351632
r2,lacUV5_2,5.18_µg/ml_tc,G11,0.010719491964627273
r2,WTlac_1,5.18_µg/ml_tc,H08,0.00928473578141104
r2,WTlac_2,5.18_µg/ml_tc,H09,0.00915905732406122
r2,lacUV5_1,5.18_µg/ml_tc,H10,0.0111498520427882
r2,lacUV5_2,5.18_µg/ml_tc,H11,0.010495704202437239
