run,strain,pos_selection,well,exp_growth_rate
r2,MG1655_1,0.0_µg/ml_tc,A02,0.00860265846427649
r2,MG1655_2,0.0_µg/ml_tc,A03,0.008891838556425153
r2,3.19_1,0.0_µg/ml_tc,A04,0.009018040109080127
r2,3.19_2,0.0_µg/ml_tc,A05,0.00915072192980362
r2,IW_1,0.0_µg/ml_tc,A06,0.009129316889342966
r2,IW_2,0.0_µg/ml_tc,A07,0.008956723537993198
r2,WTlac_1,0.0_µg/ml_tc,A08,0.00899346911151612
r2,WTlac_2,0.0_µg/ml_tc,A09,0.008903926537398939
r2,lacUV5_1,0.0_µg/ml_tc,A10,0.008313729694148833
r2,lacUV5_2,0.0_µg/ml_tc,A11,0.008623350853816941
r2,MG1655_1,0.0_µg/ml_tc,B02,0.008728413161664906
r2,MG1655_2,0.0_µg/ml_tc,B03,0.00895063375052402
r2,3.19_1,0.0_µg/ml_tc,B04,0.009279609483980978
r2,3.19_2,0.0_µg/ml_tc,B05,0.009925135064442139
r2,IW_1,0.0_µg/ml_tc,B06,0.009692883498302442
r2,IW_2,0.0_µg/ml_tc,B07,0.009333211831768324
r2,WTlac_1,0.0_µg/ml_tc,B08,0.009641996467389382
r2,WTlac_2,0.0_µg/ml_tc,B09,0.009327699940316611
r2,lacUV5_1,0.0_µg/ml_tc,B10,0.009878876086667716
r2,lacUV5_2,0.0_µg/ml_tc,B11,0.00908179511863881
r2,MG1655_1,0.1_µg/ml_tc,C02,0.007152007356917555
r2,MG1655_2,0.1_µg/ml_tc,C03,0.008050598565403352
r2,3.19_1,0.1_µg/ml_tc,C04,0.011008702569473743
r2,3.19_2,0.1_µg/ml_tc,C05,0.009049531648992538
r2,IW_1,0.1_µg/ml_tc,C06,0.010210022908124328
r2,IW_2,0.1_µg/ml_tc,C07,0.00831038174056037
r2,WTlac_1,0.1_µg/ml_tc,C08,0.008961422979933313
r2,WTlac_2,0.1_µg/ml_tc,C09,0.010256393530128485
r2,lacUV5_1,0.1_µg/ml_tc,C10,0.009762532938938542
r2,lacUV5_2,0.1_µg/ml_tc,C11,0.00902488929078989
r2,MG1655_1,0.1_µg/ml_tc,D02,0.007944817051539672
r2,MG1655_2,0.1_µg/ml_tc,D03,0.009539528668731813
r2,3.19_1,0.1_µg/ml_tc,D04,0.00950477165473389
r2,3.19_2,0.1_µg/ml_tc,D05,0.011574916399199733
r2,IW_1,0.1_µg/ml_tc,D06,0.009155948438174152
r2,IW_2,0.1_µg/ml_tc,D07,0.010839414796165646
r2,WTlac_1,0.1_µg/ml_tc,D08,0.010771549147590981
r2,WTlac_2,0.1_µg/ml_tc,D09,0.009953498676400828
r2,lacUV5_1,0.1_µg/ml_tc,D10,0.008688151133183667
r2,lacUV5_2,0.1_µg/ml_tc,D11,0.009403016318672564
r2,MG1655_1,0.16_µg/ml_tc,E02,0.0074264402012044544
r2,MG1655_2,0.16_µg/ml_tc,E03,0.009709533696276564
r2,3.19_1,0.16_µg/ml_tc,E04,0.010183869008236628
r2,3.19_2,0.16_µg/ml_tc,E05,0.008457402822569935
r2,IW_1,0.16_µg/ml_tc,E06,0.009899356829103282
r2,IW_2,0.16_µg/ml_tc,E07,0.01055909766603259
r2,WTlac_1,0.16_µg/ml_tc,E08,0.011053639990746187
r2,WTlac_2,0.16_µg/ml_tc,E09,0.01156615940832076
r2,lacUV5_1,0.16_µg/ml_tc,E10,0.011131175711038211
r2,lacUV5_2,0.16_µg/ml_tc,E11,0.009804274179956593
r2,MG1655_1,0.16_µg/ml_tc,F02,0.007175528583655613
r2,MG1655_2,0.16_µg/ml_tc,F03,0.007254970960759798
r2,3.19_1,0.16_µg/ml_tc,F04,0.008071763770141889
r2,3.19_2,0.16_µg/ml_tc,F05,0.008155228343299598
r2,IW_1,0.16_µg/ml_tc,F06,0.009460225148857975
r2,IW_2,0.16_µg/ml_tc,F07,0.009873277631096683
r2,WTlac_1,0.16_µg/ml_tc,F08,0.010550681372984424
r2,WTlac_2,0.16_µg/ml_tc,F09,0.010558930391876348
r2,lacUV5_1,0.16_µg/ml_tc,F10,0.008346586078843237
r2,lacUV5_2,0.16_µg/ml_tc,F11,0.009429643889943126
r2,MG1655_1,0.27_µg/ml_tc,G02,0.006476267549445373
r2,MG1655_2,0.27_µg/ml_tc,G03,0.006581502010384585
r2,3.19_1,0.27_µg/ml_tc,G04,0.007481839403511254
r2,3.19_2,0.27_µg/ml_tc,G05,0.007576312668768972
r2,IW_1,0.27_µg/ml_tc,G06,0.008426620577989197
r2,IW_2,0.27_µg/ml_tc,G07,0.009135922656102871
r2,WTlac_1,0.27_µg/ml_tc,G08,0.010361606251668622
r2,WTlac_2,0.27_µg/ml_tc,G09,0.008778690726879965
r2,lacUV5_1,0.27_µg/ml_tc,G10,0.009313779479094455
r2,lacUV5_2,0.27_µg/ml_tc,G11,0.009418225015141736
r2,MG1655_1,0.27_µg/ml_tc,H02,0.0061274732292934606
r2,MG1655_2,0.27_µg/ml_tc,H03,0.006488735454787954
r2,3.19_1,0.27_µg/ml_tc,H04,0.007014616459054457
r2,3.19_2,0.27_µg/ml_tc,H05,0.007160498391780344
r2,IW_1,0.27_µg/ml_tc,H06,0.008225854666387757
r2,IW_2,0.27_µg/ml_tc,H07,0.007660969141234014
r2,WTlac_1,0.27_µg/ml_tc,H08,0.00813142494933137
r2,WTlac_2,0.27_µg/ml_tc,H09,0.008451081591881252
r2,lacUV5_1,0.27_µg/ml_tc,H10,0.0094260601764763
r2,lacUV5_2,0.27_µg/ml_tc,H11,0.008916745457725805
