# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = exponential_growth_model
# start_datetime = 2022-07-06 22:52:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 75
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/tomroeschinger/git/resistance_evolution/processing/plate_reader/20220702_r5_MG1655_calibration/stan/exponential_growth_data_2.json
# init = 2 (Default)
# random
#   seed = 3705727076 (Default)
# output
#   file = /Users/tomroeschinger/git/resistance_evolution/processing/plate_reader/20220702_r5_MG1655_calibration/stan/exponential_growth_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_10_tau,y_0,sigma_0,tau,lambda,y_th.1,y_th.2,y_th.3,y_th.4,y_th.5,y_th.6,y_th.7,y_th.8,y_th.9,y_th.10,y_th.11,y_th.12,y_th.13,y_th.14,y_th.15,y_th.16,y_th.17,y_th.18,y_th.19,y_th.20,y_th.21,y_th.22,y_th.23,y_th.24,y_th.25,y_th.26,y_th.27,y_th.28,y_th.29,y_th.30,y_th.31,y_th.32,y_th.33,y_th.34,y_th.35,y_th.36,y_th.37,y_ppc.1,y_ppc.2,y_ppc.3,y_ppc.4,y_ppc.5,y_ppc.6,y_ppc.7,y_ppc.8,y_ppc.9,y_ppc.10,y_ppc.11,y_ppc.12,y_ppc.13,y_ppc.14,y_ppc.15,y_ppc.16,y_ppc.17,y_ppc.18,y_ppc.19,y_ppc.20,y_ppc.21,y_ppc.22,y_ppc.23,y_ppc.24,y_ppc.25,y_ppc.26,y_ppc.27,y_ppc.28,y_ppc.29,y_ppc.30,y_ppc.31,y_ppc.32,y_ppc.33,y_ppc.34,y_ppc.35,y_ppc.36,y_ppc.37
# Adaptation terminated
# Step size = 0.13885
# Diagonal elements of inverse mass matrix:
# 1.34946e-05, 6.26128e-05, 0.00117242
-49.0666,0.999909,0.13885,5,31,0,50.1228,1.93444,0.00894708,0.013646,85.9887,0.00806091,-4.04603,-3.9896,-3.93318,-3.87675,-3.82032,-3.7639,-3.70747,-3.65104,-3.59462,-3.53819,-3.48176,-3.42534,-3.36891,-3.31249,-3.25606,-3.19963,-3.14321,-3.08678,-3.03035,-2.97393,-2.9175,-2.86107,-2.80465,-2.74822,-2.69179,-2.63537,-2.57894,-2.52252,-2.46609,-2.40966,-2.35324,-2.29681,-2.24038,-2.18396,-2.12753,-2.0711,-2.01468,-4.04603,-3.9896,-3.93318,-3.87675,-3.82032,-3.7639,-3.70747,-3.65104,-3.59462,-3.53819,-3.48176,-3.42534,-3.36891,-3.31249,-3.25606,-3.19963,-3.14321,-3.08678,-3.03035,-2.97393,-2.9175,-2.86107,-2.80465,-2.74822,-2.69179,-2.63537,-2.57894,-2.52252,-2.46609,-2.40966,-2.35324,-2.29681,-2.24038,-2.18396,-2.12753,-2.0711,-2.01468
-49.3057,0.952586,0.13885,3,15,0,50.7038,1.93575,0.00900368,0.0135233,86.2492,0.00803657,-4.04175,-3.98549,-3.92924,-3.87298,-3.81672,-3.76047,-3.70421,-3.64796,-3.5917,-3.53544,-3.47919,-3.42293,-3.36668,-3.31042,-3.25416,-3.19791,-3.14165,-3.0854,-3.02914,-2.97288,-2.91663,-2.86037,-2.80412,-2.74786,-2.6916,-2.63535,-2.57909,-2.52284,-2.46658,-2.41032,-2.35407,-2.29781,-2.24156,-2.1853,-2.12904,-2.07279,-2.01653,-4.04175,-3.98549,-3.92924,-3.87298,-3.81672,-3.76047,-3.70421,-3.64796,-3.5917,-3.53544,-3.47919,-3.42293,-3.36668,-3.31042,-3.25416,-3.19791,-3.14165,-3.0854,-3.02914,-2.97288,-2.91663,-2.86037,-2.80412,-2.74786,-2.6916,-2.63535,-2.57909,-2.52284,-2.46658,-2.41032,-2.35407,-2.29781,-2.24156,-2.1853,-2.12904,-2.07279,-2.01653
-49.0332,0.882052,0.13885,4,19,0,50.2642,1.93438,0.00893712,0.0136482,85.9765,0.00806205,-4.04705,-3.99061,-3.93418,-3.87775,-3.82131,-3.76488,-3.70844,-3.65201,-3.59557,-3.53914,-3.48271,-3.42627,-3.36984,-3.3134,-3.25697,-3.20053,-3.1441,-3.08766,-3.03123,-2.9748,-2.91836,-2.86193,-2.80549,-2.74906,-2.69262,-2.63619,-2.57976,-2.52332,-2.46689,-2.41045,-2.35402,-2.29758,-2.24115,-2.18472,-2.12828,-2.07185,-2.01541,-4.04705,-3.99061,-3.93418,-3.87775,-3.82131,-3.76488,-3.70844,-3.65201,-3.59557,-3.53914,-3.48271,-3.42627,-3.36984,-3.3134,-3.25697,-3.20053,-3.1441,-3.08766,-3.03123,-2.9748,-2.91836,-2.86193,-2.80549,-2.74906,-2.69262,-2.63619,-2.57976,-2.52332,-2.46689,-2.41045,-2.35402,-2.29758,-2.24115,-2.18472,-2.12828,-2.07185,-2.01541
-50.3566,0.817157,0.13885,3,15,0,51.312,1.9351,0.00893001,0.0132919,86.1199,0.00804863,-4.04896,-3.99262,-3.93628,-3.87994,-3.8236,-3.76726,-3.71092,-3.65458,-3.59824,-3.5419,-3.48556,-3.42922,-3.37288,-3.31654,-3.26019,-3.20385,-3.14751,-3.09117,-3.03483,-2.97849,-2.92215,-2.86581,-2.80947,-2.75313,-2.69679,-2.64045,-2.58411,-2.52777,-2.47143,-2.41509,-2.35875,-2.30241,-2.24607,-2.18973,-2.13339,-2.07705,-2.02071,-4.04896,-3.99262,-3.93628,-3.87994,-3.8236,-3.76726,-3.71092,-3.65458,-3.59824,-3.5419,-3.48556,-3.42922,-3.37288,-3.31654,-3.26019,-3.20385,-3.14751,-3.09117,-3.03483,-2.97849,-2.92215,-2.86581,-2.80947,-2.75313,-2.69679,-2.64045,-2.58411,-2.52777,-2.47143,-2.41509,-2.35875,-2.30241,-2.24607,-2.18973,-2.13339,-2.07705,-2.02071
-49.3728,0.977854,0.13885,3,15,0,51.8019,1.93521,0.00895414,0.0138423,86.1417,0.0080466,-4.04643,-3.9901,-3.93378,-3.87745,-3.82113,-3.7648,-3.70847,-3.65215,-3.59582,-3.53949,-3.48317,-3.42684,-3.37052,-3.31419,-3.25786,-3.20154,-3.14521,-3.08889,-3.03256,-2.97623,-2.91991,-2.86358,-2.80725,-2.75093,-2.6946,-2.63828,-2.58195,-2.52562,-2.4693,-2.41297,-2.35665,-2.30032,-2.24399,-2.18767,-2.13134,-2.07501,-2.01869,-4.04643,-3.9901,-3.93378,-3.87745,-3.82113,-3.7648,-3.70847,-3.65215,-3.59582,-3.53949,-3.48317,-3.42684,-3.37052,-3.31419,-3.25786,-3.20154,-3.14521,-3.08889,-3.03256,-2.97623,-2.91991,-2.86358,-2.80725,-2.75093,-2.6946,-2.63828,-2.58195,-2.52562,-2.4693,-2.41297,-2.35665,-2.30032,-2.24399,-2.18767,-2.13134,-2.07501,-2.01869
-49.4128,1,0.13885,4,15,0,49.5251,1.93468,0.00893416,0.0138125,86.0355,0.00805652,-4.04784,-3.99144,-3.93505,-3.87865,-3.82226,-3.76586,-3.70947,-3.65307,-3.59667,-3.54028,-3.48388,-3.42749,-3.37109,-3.3147,-3.2583,-3.2019,-3.14551,-3.08911,-3.03272,-2.97632,-2.91993,-2.86353,-2.80713,-2.75074,-2.69434,-2.63795,-2.58155,-2.52516,-2.46876,-2.41236,-2.35597,-2.29957,-2.24318,-2.18678,-2.13039,-2.07399,-2.0176,-4.04784,-3.99144,-3.93505,-3.87865,-3.82226,-3.76586,-3.70947,-3.65307,-3.59667,-3.54028,-3.48388,-3.42749,-3.37109,-3.3147,-3.2583,-3.2019,-3.14551,-3.08911,-3.03272,-2.97632,-2.91993,-2.86353,-2.80713,-2.75074,-2.69434,-2.63795,-2.58155,-2.52516,-2.46876,-2.41236,-2.35597,-2.29957,-2.24318,-2.18678,-2.13039,-2.07399,-2.0176
