name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"y_th[35]",-2.1,0.000068,0.0040,-2.1,-2.1,-2.1,3350,15726,1.0
"y_th[36]",-2.1,0.000072,0.0041,-2.1,-2.1,-2.1,3273,15366,1.0
"y_th[37]",-2.0,0.000076,0.0043,-2.0,-2.0,-2.0,3205,15046,1.0
"y_ppc[1]",-4.0,0.000092,0.0043,-4.1,-4.0,-4.0,2202,10338,1.0
"y_ppc[2]",-4.0,0.000088,0.0042,-4.0,-4.0,-4.0,2216,10402,1.0
"y_ppc[3]",-3.9,0.000084,0.0040,-3.9,-3.9,-3.9,2232,10480,1.0
"y_ppc[4]",-3.9,0.000080,0.0038,-3.9,-3.9,-3.9,2257,10598,1.0
"y_ppc[5]",-3.8,0.000076,0.0036,-3.8,-3.8,-3.8,2281,10710,1.0
"y_ppc[6]",-3.8,0.000073,0.0035,-3.8,-3.8,-3.8,2308,10836,1.0
"y_ppc[7]",-3.7,0.000069,0.0033,-3.7,-3.7,-3.7,2342,10993,1.0
"y_ppc[8]",-3.7,0.000065,0.0032,-3.7,-3.7,-3.6,2384,11193,1.0
"y_ppc[9]",-3.6,0.000062,0.0030,-3.6,-3.6,-3.6,2437,11441,1.0
"y_ppc[10]",-3.5,0.000058,0.0029,-3.5,-3.5,-3.5,2504,11755,1.0
"y_ppc[11]",-3.5,0.000055,0.0028,-3.5,-3.5,-3.5,2586,12141,1.0
"y_ppc[12]",-3.4,0.000051,0.0027,-3.4,-3.4,-3.4,2689,12624,1.0
"y_ppc[13]",-3.4,0.000048,0.0026,-3.4,-3.4,-3.4,2818,13229,1.0
"y_ppc[14]",-3.3,0.000045,0.0025,-3.3,-3.3,-3.3,2976,13973,1.0
"y_ppc[15]",-3.3,0.000042,0.0024,-3.3,-3.3,-3.3,3168,14872,1.0
"y_ppc[16]",-3.2,0.000040,0.0023,-3.2,-3.2,-3.2,3401,15966,1.0
"y_ppc[17]",-3.1,0.000037,0.0023,-3.1,-3.1,-3.1,3669,17227,1.0
"y_ppc[18]",-3.1,0.000036,0.0022,-3.1,-3.1,-3.1,3970,18638,1.0
"y_ppc[19]",-3.0,0.000034,0.0022,-3.0,-3.0,-3.0,4263,20015,1.0
"y_ppc[20]",-3.0,0.000033,0.0022,-3.0,-3.0,-3.0,4513,21186,1.0
"y_ppc[21]",-2.9,0.000033,0.0023,-2.9,-2.9,-2.9,4649,21827,1.0
"y_ppc[22]",-2.9,0.000034,0.0023,-2.9,-2.9,-2.9,4709,22109,1.0
"y_ppc[23]",-2.8,0.000035,0.0024,-2.8,-2.8,-2.8,4698,22054,1.00
"y_ppc[24]",-2.7,0.000036,0.0024,-2.8,-2.7,-2.7,4630,21738,1.00
"y_ppc[25]",-2.7,0.000038,0.0025,-2.7,-2.7,-2.7,4525,21244,1.00
"y_ppc[26]",-2.6,0.000040,0.0026,-2.6,-2.6,-2.6,4397,20641,1.00
"y_ppc[27]",-2.6,0.000042,0.0028,-2.6,-2.6,-2.6,4259,19995,1.0
"y_ppc[28]",-2.5,0.000045,0.0029,-2.5,-2.5,-2.5,4116,19322,1.0
"y_ppc[29]",-2.5,0.000048,0.0030,-2.5,-2.5,-2.5,3974,18658,1.0
"y_ppc[30]",-2.4,0.000051,0.0032,-2.4,-2.4,-2.4,3843,18040,1.0
"y_ppc[31]",-2.4,0.000054,0.0033,-2.4,-2.4,-2.3,3723,17478,1.0
"y_ppc[32]",-2.3,0.000057,0.0035,-2.3,-2.3,-2.3,3642,17097,1.0
"y_ppc[33]",-2.2,0.000061,0.0036,-2.2,-2.2,-2.2,3533,16587,1.0
"y_ppc[34]",-2.2,0.000065,0.0038,-2.2,-2.2,-2.2,3436,16130,1.0
"y_ppc[35]",-2.1,0.000068,0.0040,-2.1,-2.1,-2.1,3350,15726,1.0
"y_ppc[36]",-2.1,0.000072,0.0041,-2.1,-2.1,-2.1,3273,15366,1.0
"y_ppc[37]",-2.0,0.000076,0.0043,-2.0,-2.0,-2.0,3205,15046,1.0
# Inference for Stan model: exponential_growth_model
# 4 chains: each with iter=(1000,1000,1000,1000); warmup=(0,0,0,0); thin=(1,1,1,1); 4000 iterations saved.
# 
# Warmup took (0.045, 0.045, 0.048, 0.037) seconds, 0.17 seconds total
# Sampling took (0.053, 0.054, 0.052, 0.054) seconds, 0.21 seconds total
# Samples were drawn using hmc with nuts.
# For each parameter, N_Eff is a crude measure of effective sample size,
# and R_hat is the potential scale reduction factor on split chains (at 
# convergence, R_hat=1).
