# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = exponential_growth_model
# start_datetime = 2022-07-06 22:52:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 75
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/tomroeschinger/git/resistance_evolution/processing/plate_reader/20220702_r5_MG1655_calibration/stan/exponential_growth_data_3.json
# init = 2 (Default)
# random
#   seed = 3705727090 (Default)
# output
#   file = /Users/tomroeschinger/git/resistance_evolution/processing/plate_reader/20220702_r5_MG1655_calibration/stan/exponential_growth_chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_10_tau,y_0,sigma_0,tau,lambda,y_th.1,y_th.2,y_th.3,y_th.4,y_th.5,y_th.6,y_th.7,y_th.8,y_th.9,y_th.10,y_th.11,y_th.12,y_th.13,y_th.14,y_th.15,y_th.16,y_th.17,y_th.18,y_th.19,y_th.20,y_th.21,y_th.22,y_th.23,y_th.24,y_th.25,y_th.26,y_th.27,y_th.28,y_th.29,y_th.30,y_th.31,y_th.32,y_th.33,y_th.34,y_th.35,y_th.36,y_th.37,y_ppc.1,y_ppc.2,y_ppc.3,y_ppc.4,y_ppc.5,y_ppc.6,y_ppc.7,y_ppc.8,y_ppc.9,y_ppc.10,y_ppc.11,y_ppc.12,y_ppc.13,y_ppc.14,y_ppc.15,y_ppc.16,y_ppc.17,y_ppc.18,y_ppc.19,y_ppc.20,y_ppc.21,y_ppc.22,y_ppc.23,y_ppc.24,y_ppc.25,y_ppc.26,y_ppc.27,y_ppc.28,y_ppc.29,y_ppc.30,y_ppc.31,y_ppc.32,y_ppc.33,y_ppc.34,y_ppc.35,y_ppc.36,y_ppc.37
# Adaptation terminated
# Step size = 0.156986
# Diagonal elements of inverse mass matrix:
# 1.28624e-05, 5.19637e-05, 0.00129647
-50.104,0.952536,0.156986,3,9,0,50.6463,1.93688,0.00902543,0.0129251,86.472,0.00801585,-4.04106,-3.98495,-3.92884,-3.87272,-3.81661,-3.7605,-3.70439,-3.64828,-3.59217,-3.53606,-3.47995,-3.42384,-3.36773,-3.31161,-3.2555,-3.19939,-3.14328,-3.08717,-3.03106,-2.97495,-2.91884,-2.86273,-2.80662,-2.7505,-2.69439,-2.63828,-2.58217,-2.52606,-2.46995,-2.41384,-2.35773,-2.30162,-2.24551,-2.18939,-2.13328,-2.07717,-2.02106,-4.04106,-3.98495,-3.92884,-3.87272,-3.81661,-3.7605,-3.70439,-3.64828,-3.59217,-3.53606,-3.47995,-3.42384,-3.36773,-3.31161,-3.2555,-3.19939,-3.14328,-3.08717,-3.03106,-2.97495,-2.91884,-2.86273,-2.80662,-2.7505,-2.69439,-2.63828,-2.58217,-2.52606,-2.46995,-2.41384,-2.35773,-2.30162,-2.24551,-2.18939,-2.13328,-2.07717,-2.02106
-49.8901,0.998919,0.156986,3,7,0,50.1227,1.93653,0.00901968,0.0129431,86.403,0.00802226,-4.04116,-3.98501,-3.92885,-3.87269,-3.81654,-3.76038,-3.70423,-3.64807,-3.59192,-3.53576,-3.4796,-3.42345,-3.36729,-3.31114,-3.25498,-3.19882,-3.14267,-3.08651,-3.03036,-2.9742,-2.91805,-2.86189,-2.80573,-2.74958,-2.69342,-2.63727,-2.58111,-2.52495,-2.4688,-2.41264,-2.35649,-2.30033,-2.24418,-2.18802,-2.13186,-2.07571,-2.01955,-4.04116,-3.98501,-3.92885,-3.87269,-3.81654,-3.76038,-3.70423,-3.64807,-3.59192,-3.53576,-3.4796,-3.42345,-3.36729,-3.31114,-3.25498,-3.19882,-3.14267,-3.08651,-3.03036,-2.9742,-2.91805,-2.86189,-2.80573,-2.74958,-2.69342,-2.63727,-2.58111,-2.52495,-2.4688,-2.41264,-2.35649,-2.30033,-2.24418,-2.18802,-2.13186,-2.07571,-2.01955
-50.2614,0.856138,0.156986,2,7,0,50.6601,1.93655,0.00903017,0.0129222,86.407,0.00802189,-4.04003,-3.98388,-3.92772,-3.87157,-3.81542,-3.75926,-3.70311,-3.64696,-3.5908,-3.53465,-3.4785,-3.42235,-3.36619,-3.31004,-3.25389,-3.19773,-3.14158,-3.08543,-3.02927,-2.97312,-2.91697,-2.86081,-2.80466,-2.74851,-2.69235,-2.6362,-2.58005,-2.52389,-2.46774,-2.41159,-2.35543,-2.29928,-2.24313,-2.18697,-2.13082,-2.07467,-2.01851,-4.04003,-3.98388,-3.92772,-3.87157,-3.81542,-3.75926,-3.70311,-3.64696,-3.5908,-3.53465,-3.4785,-3.42235,-3.36619,-3.31004,-3.25389,-3.19773,-3.14158,-3.08543,-3.02927,-2.97312,-2.91697,-2.86081,-2.80466,-2.74851,-2.69235,-2.6362,-2.58005,-2.52389,-2.46774,-2.41159,-2.35543,-2.29928,-2.24313,-2.18697,-2.13082,-2.07467,-2.01851
-50.7636,0.412177,0.156986,2,7,0,54.7187,1.93623,0.00903741,0.013225,86.3433,0.00802781,-4.03874,-3.98254,-3.92635,-3.87015,-3.81396,-3.75776,-3.70157,-3.64537,-3.58918,-3.53298,-3.47679,-3.4206,-3.3644,-3.30821,-3.25201,-3.19582,-3.13962,-3.08343,-3.02723,-2.97104,-2.91484,-2.85865,-2.80245,-2.74626,-2.69006,-2.63387,-2.57768,-2.52148,-2.46529,-2.40909,-2.3529,-2.2967,-2.24051,-2.18431,-2.12812,-2.07192,-2.01573,-4.03874,-3.98254,-3.92635,-3.87015,-3.81396,-3.75776,-3.70157,-3.64537,-3.58918,-3.53298,-3.47679,-3.4206,-3.3644,-3.30821,-3.25201,-3.19582,-3.13962,-3.08343,-3.02723,-2.97104,-2.91484,-2.85865,-2.80245,-2.74626,-2.69006,-2.63387,-2.57768,-2.52148,-2.46529,-2.40909,-2.3529,-2.2967,-2.24051,-2.18431,-2.12812,-2.07192,-2.01573
-51.0181,0.964082,0.156986,5,31,0,51.7034,1.93444,0.00890181,0.0137963,85.9892,0.00806086,-4.05111,-3.99468,-3.93825,-3.88183,-3.8254,-3.76898,-3.71255,-3.65612,-3.5997,-3.54327,-3.48685,-3.43042,-3.37399,-3.31757,-3.26114,-3.20472,-3.14829,-3.09186,-3.03544,-2.97901,-2.92259,-2.86616,-2.80973,-2.75331,-2.69688,-2.64045,-2.58403,-2.5276,-2.47118,-2.41475,-2.35832,-2.3019,-2.24547,-2.18905,-2.13262,-2.07619,-2.01977,-4.05111,-3.99468,-3.93825,-3.88183,-3.8254,-3.76898,-3.71255,-3.65612,-3.5997,-3.54327,-3.48685,-3.43042,-3.37399,-3.31757,-3.26114,-3.20472,-3.14829,-3.09186,-3.03544,-2.97901,-2.92259,-2.86616,-2.80973,-2.75331,-2.69688,-2.64045,-2.58403,-2.5276,-2.47118,-2.41475,-2.35832,-2.3019,-2.24547,-2.18905,-2.13262,-2.07619,-2.01977
-53.2869,0.985013,0.156986,4,15,0,54.1296,1.93559,0.00894137,0.0146266,86.2156,0.0080397,-4.04843,-3.99215,-3.93588,-3.8796,-3.82332,-3.76704,-3.71076,-3.65449,-3.59821,-3.54193,-3.48565,-3.42938,-3.3731,-3.31682,-3.26054,-3.20426,-3.14799,-3.09171,-3.03543,-2.97915,-2.92287,-2.8666,-2.81032,-2.75404,-2.69776,-2.64149,-2.58521,-2.52893,-2.47265,-2.41637,-2.3601,-2.30382,-2.24754,-2.19126,-2.13498,-2.07871,-2.02243,-4.04843,-3.99215,-3.93588,-3.8796,-3.82332,-3.76704,-3.71076,-3.65449,-3.59821,-3.54193,-3.48565,-3.42938,-3.3731,-3.31682,-3.26054,-3.20426,-3.14799,-3.09171,-3.03543,-2.97915,-2.92287,-2.8666,-2.81032,-2.75404,-2.69776,-2.64149,-2.58521,-2.52893,-2.47265,-2.41637,-2.3601,-2.30382,-2.24754,-2.19126,-2.13498,-2.07871,-2.02243
