# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = exponential_growth_model
# start_datetime = 2022-07-06 22:52:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 75
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/tomroeschinger/git/resistance_evolution/processing/plate_reader/20220702_r5_MG1655_calibration/stan/exponential_growth_data_4.json
# init = 2 (Default)
# random
#   seed = 3705727105 (Default)
# output
#   file = /Users/tomroeschinger/git/resistance_evolution/processing/plate_reader/20220702_r5_MG1655_calibration/stan/exponential_growth_chain_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_10_tau,y_0,sigma_0,tau,lambda,y_th.1,y_th.2,y_th.3,y_th.4,y_th.5,y_th.6,y_th.7,y_th.8,y_th.9,y_th.10,y_th.11,y_th.12,y_th.13,y_th.14,y_th.15,y_th.16,y_th.17,y_th.18,y_th.19,y_th.20,y_th.21,y_th.22,y_th.23,y_th.24,y_th.25,y_th.26,y_th.27,y_th.28,y_th.29,y_th.30,y_th.31,y_th.32,y_th.33,y_th.34,y_th.35,y_th.36,y_th.37,y_ppc.1,y_ppc.2,y_ppc.3,y_ppc.4,y_ppc.5,y_ppc.6,y_ppc.7,y_ppc.8,y_ppc.9,y_ppc.10,y_ppc.11,y_ppc.12,y_ppc.13,y_ppc.14,y_ppc.15,y_ppc.16,y_ppc.17,y_ppc.18,y_ppc.19,y_ppc.20,y_ppc.21,y_ppc.22,y_ppc.23,y_ppc.24,y_ppc.25,y_ppc.26,y_ppc.27,y_ppc.28,y_ppc.29,y_ppc.30,y_ppc.31,y_ppc.32,y_ppc.33,y_ppc.34,y_ppc.35,y_ppc.36,y_ppc.37
# Adaptation terminated
# Step size = 0.142624
# Diagonal elements of inverse mass matrix:
# 1.26762e-05, 4.99404e-05, 0.00134536
-49.1925,0.988041,0.142624,5,31,0,50.4747,1.93523,0.00896967,0.0138562,86.1451,0.00804627,-4.04473,-3.9884,-3.93208,-3.87575,-3.81943,-3.76311,-3.70678,-3.65046,-3.59413,-3.53781,-3.48149,-3.42516,-3.36884,-3.31251,-3.25619,-3.19987,-3.14354,-3.08722,-3.03089,-2.97457,-2.91825,-2.86192,-2.8056,-2.74928,-2.69295,-2.63663,-2.5803,-2.52398,-2.46766,-2.41133,-2.35501,-2.29868,-2.24236,-2.18604,-2.12971,-2.07339,-2.01706,-4.04473,-3.9884,-3.93208,-3.87575,-3.81943,-3.76311,-3.70678,-3.65046,-3.59413,-3.53781,-3.48149,-3.42516,-3.36884,-3.31251,-3.25619,-3.19987,-3.14354,-3.08722,-3.03089,-2.97457,-2.91825,-2.86192,-2.8056,-2.74928,-2.69295,-2.63663,-2.5803,-2.52398,-2.46766,-2.41133,-2.35501,-2.29868,-2.24236,-2.18604,-2.12971,-2.07339,-2.01706
-49.0149,0.995969,0.142624,4,23,0,49.6949,1.93519,0.00896144,0.0137133,86.1363,0.0080471,-4.04557,-3.98924,-3.93292,-3.87659,-3.82026,-3.76393,-3.7076,-3.65127,-3.59494,-3.53861,-3.48228,-3.42595,-3.36962,-3.31329,-3.25696,-3.20063,-3.1443,-3.08797,-3.03164,-2.97531,-2.91898,-2.86265,-2.80632,-2.74999,-2.69366,-2.63733,-2.581,-2.52467,-2.46834,-2.41201,-2.35568,-2.29935,-2.24302,-2.18669,-2.13036,-2.07404,-2.01771,-4.04557,-3.98924,-3.93292,-3.87659,-3.82026,-3.76393,-3.7076,-3.65127,-3.59494,-3.53861,-3.48228,-3.42595,-3.36962,-3.31329,-3.25696,-3.20063,-3.1443,-3.08797,-3.03164,-2.97531,-2.91898,-2.86265,-2.80632,-2.74999,-2.69366,-2.63733,-2.581,-2.52467,-2.46834,-2.41201,-2.35568,-2.29935,-2.24302,-2.18669,-2.13036,-2.07404,-2.01771
-49.86,0.958539,0.142624,4,31,0,50.3602,1.93728,0.00902896,0.0134921,86.5528,0.00800838,-4.04129,-3.98523,-3.92917,-3.87311,-3.81705,-3.761,-3.70494,-3.64888,-3.59282,-3.53676,-3.4807,-3.42464,-3.36858,-3.31253,-3.25647,-3.20041,-3.14435,-3.08829,-3.03223,-2.97617,-2.92012,-2.86406,-2.808,-2.75194,-2.69588,-2.63982,-2.58376,-2.52771,-2.47165,-2.41559,-2.35953,-2.30347,-2.24741,-2.19135,-2.1353,-2.07924,-2.02318,-4.04129,-3.98523,-3.92917,-3.87311,-3.81705,-3.761,-3.70494,-3.64888,-3.59282,-3.53676,-3.4807,-3.42464,-3.36858,-3.31253,-3.25647,-3.20041,-3.14435,-3.08829,-3.03223,-2.97617,-2.92012,-2.86406,-2.808,-2.75194,-2.69588,-2.63982,-2.58376,-2.52771,-2.47165,-2.41559,-2.35953,-2.30347,-2.24741,-2.19135,-2.1353,-2.07924,-2.02318
-49.935,0.998161,0.142624,2,7,0,50.6025,1.93718,0.00905079,0.0134357,86.5319,0.00801031,-4.03871,-3.98264,-3.92657,-3.8705,-3.81442,-3.75835,-3.70228,-3.64621,-3.59014,-3.53406,-3.47799,-3.42192,-3.36585,-3.30977,-3.2537,-3.19763,-3.14156,-3.08549,-3.02941,-2.97334,-2.91727,-2.8612,-2.80513,-2.74905,-2.69298,-2.63691,-2.58084,-2.52476,-2.46869,-2.41262,-2.35655,-2.30048,-2.2444,-2.18833,-2.13226,-2.07619,-2.02012,-4.03871,-3.98264,-3.92657,-3.8705,-3.81442,-3.75835,-3.70228,-3.64621,-3.59014,-3.53406,-3.47799,-3.42192,-3.36585,-3.30977,-3.2537,-3.19763,-3.14156,-3.08549,-3.02941,-2.97334,-2.91727,-2.8612,-2.80513,-2.74905,-2.69298,-2.63691,-2.58084,-2.52476,-2.46869,-2.41262,-2.35655,-2.30048,-2.2444,-2.18833,-2.13226,-2.07619,-2.02012
-49.4758,0.996103,0.142624,4,15,0,50.0628,1.93652,0.0090264,0.0135935,86.4006,0.00802248,-4.0404,-3.98424,-3.92808,-3.87193,-3.81577,-3.75961,-3.70345,-3.6473,-3.59114,-3.53498,-3.47882,-3.42267,-3.36651,-3.31035,-3.2542,-3.19804,-3.14188,-3.08572,-3.02957,-2.97341,-2.91725,-2.86109,-2.80494,-2.74878,-2.69262,-2.63646,-2.58031,-2.52415,-2.46799,-2.41184,-2.35568,-2.29952,-2.24336,-2.18721,-2.13105,-2.07489,-2.01873,-4.0404,-3.98424,-3.92808,-3.87193,-3.81577,-3.75961,-3.70345,-3.6473,-3.59114,-3.53498,-3.47882,-3.42267,-3.36651,-3.31035,-3.2542,-3.19804,-3.14188,-3.08572,-3.02957,-2.97341,-2.91725,-2.86109,-2.80494,-2.74878,-2.69262,-2.63646,-2.58031,-2.52415,-2.46799,-2.41184,-2.35568,-2.29952,-2.24336,-2.18721,-2.13105,-2.07489,-2.01873
-50.0133,0.833137,0.142624,1,3,0,50.5326,1.93716,0.0090185,0.013612,86.5294,0.00801054,-4.04227,-3.98619,-3.93012,-3.87405,-3.81797,-3.7619,-3.70582,-3.64975,-3.59368,-3.5376,-3.48153,-3.42546,-3.36938,-3.31331,-3.25723,-3.20116,-3.14509,-3.08901,-3.03294,-2.97687,-2.92079,-2.86472,-2.80864,-2.75257,-2.6965,-2.64042,-2.58435,-2.52828,-2.4722,-2.41613,-2.36005,-2.30398,-2.24791,-2.19183,-2.13576,-2.07969,-2.02361,-4.04227,-3.98619,-3.93012,-3.87405,-3.81797,-3.7619,-3.70582,-3.64975,-3.59368,-3.5376,-3.48153,-3.42546,-3.36938,-3.31331,-3.25723,-3.20116,-3.14509,-3.08901,-3.03294,-2.97687,-2.92079,-2.86472,-2.80864,-2.75257,-2.6965,-2.64042,-2.58435,-2.52828,-2.4722,-2.41613,-2.36005,-2.30398,-2.24791,-2.19183,-2.13576,-2.07969,-2.02361
