run,strain,pos_selection,well,exp_growth_rate
r2,MG1655_1,0_µg/ml_tc,A02,0.008407938590339814
r2,3.19_1,0_µg/ml_tc,A03,0.008856581700854321
r2,IW_1,0_µg/ml_tc,A04,0.007961770479098627
r2,MG1655_1,0.4_µg/ml_tc,A05,0.005933912216110021
r2,3.19_1,0.4_µg/ml_tc,A06,0.006744380155266315
r2,IW_1,0.4_µg/ml_tc,A07,0.008134222650009824
r2,WTlac_1,0.4_µg/ml_tc,A08,0.00877805719988262
r2,lacUV5_1,0.4_µg/ml_tc,A09,0.008830703122220047
r2,MG1655_1,1.0_µg/ml_tc,A10,0.0016787847396374437
r2,WTlac_1,0_µg/ml_tc,B01,0.00878754655104773
r2,lacUV5_1,0_µg/ml_tc,B02,0.00907416050393377
r2,MG1655_2,0_µg/ml_tc,B03,0.008793664068792529
r2,3.19_2,0_µg/ml_tc,B04,0.008792655239120489
r2,MG1655_2,0.4_µg/ml_tc,B05,0.006199583428696635
r2,3.19_2,0.4_µg/ml_tc,B06,0.0069654725036177095
r2,IW_2,0.4_µg/ml_tc,B07,0.008728766901372873
r2,WTlac_2,0.4_µg/ml_tc,B08,0.009138671996153569
r2,lacUV5_2,0.4_µg/ml_tc,B09,0.00926445012604302
r2,3.19_1,1.0_µg/ml_tc,B10,0.0028714857057539796
r2,IW_1,1.0_µg/ml_tc,B11,0.005410589492021206
r2,WTlac_2,1.0_µg/ml_tc,B12,0.008573383217080583
r2,IW_2,0_µg/ml_tc,C01,0.009269100785589122
r2,WTlac_2,0_µg/ml_tc,C02,0.00914528794575965
r2,lacUV5_2,0_µg/ml_tc,C03,0.009594049449889413
r2,MG1655_1,0_µg/ml_tc,C04,0.008992078284858797
r2,MG1655_1,0.4_µg/ml_tc,C05,0.006151409236152666
r2,3.19_1,0.4_µg/ml_tc,C06,0.007231046794438881
r2,IW_1,0.4_µg/ml_tc,C07,0.008870843572694733
r2,WTlac_1,0.4_µg/ml_tc,C08,0.00938668721216047
r2,lacUV5_1,0.4_µg/ml_tc,C09,0.009289399564992352
r2,lacUV5_1,1.0_µg/ml_tc,C10,0.009074949584798622
r2,MG1655_2,1.0_µg/ml_tc,C11,0.0018174694773649893
r2,3.19_2,1.0_µg/ml_tc,C12,0.0026190116919354634
